,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.061903942020940406,0.9380960579790597,0.9965479767304314,0.003452023269568727
2007/01/05/morning,2.3041339887175383e-6,0.9999976958660113,0.7161239925680677,0.2838760074319322
2007/01/05/afternoon,0.04123453512450226,0.9587654648754979,0.9958903506997601,0.004109649300239937
2007/01/09/morning,0.7281036928533247,0.2718963071466752,0.9999991654185533,8.345814468402324e-7
2007/01/09/afternoon,0.12409955469371403,0.875900445306286,0.9970070844006028,0.0029929155993970724
2007/01/10/morning,1.7375316407886032e-6,0.9999982624683593,0.5262662849241486,0.4737337150758516
2007/01/10/afternoon,0.02285601347106825,0.9771439865289319,0.9736638563831468,0.026336143616853214
2007/01/11/morning,0.02562064570916034,0.9743793542908395,0.9754238475537947,0.024576152446205146
2007/01/11/afternoon,0.0014471170019163537,0.9985528829980836,0.8700318557430544,0.12996814425694558
2007/01/12/morning,0.21794460284583783,0.7820553971541623,0.9993943189809936,0.0006056810190062656
2007/01/12/afternoon,0.010211854193912018,0.9897881458060879,0.964419133405298,0.035580866594702165
2007/01/15/morning,0.08654552922134018,0.9134544707786597,0.9999247283839111,0.00007527161608900101
2007/01/15/afternoon,0.006038564050581785,0.9939614359494182,0.9840647547032058,0.015935245296794243
2007/01/16/morning,0.15587411004809093,0.8441258899519092,0.9998154967016204,0.00018450329837960133
2007/01/16/afternoon,0.008557474491651673,0.9914425255083483,0.9784659468426378,0.021534053157362232
2007/01/17/morning,0.00046465586003385795,0.9995353441399663,0.9058691759029328,0.0941308240970673
2007/01/17/afternoon,0.2820849848916238,0.7179150151083762,0.9998647937990415,0.00013520620095852642
2007/01/18/morning,0.26713793779966055,0.7328620622003394,0.999909706319542,0.00009029368045809782
2007/01/18/afternoon,0.017176791141650938,0.9828232088583491,0.9796914476900652,0.02030855230993467
2007/01/19/morning,0.00007081521190022144,0.9999291847880998,0.8519874354638304,0.14801256453616962
2007/01/19/afternoon,0.06255447795631786,0.9374455220436821,0.9987306569721028,0.001269343027897163
2007/01/22/morning,0.00014455380524314165,0.999855446194757,0.923426513415698,0.07657348658430196
2007/01/22/afternoon,0.0009424632613379558,0.9990575367386619,0.9873637566385024,0.012636243361497712
2007/01/23/morning,0.0022194198643155083,0.9977805801356844,0.9797214555226649,0.020278544477335014
2007/01/23/afternoon,0.16287982483368957,0.8371201751663104,0.9998632628268654,0.0001367371731344491
2007/01/24/morning,0.016435357533127526,0.9835646424668726,0.9999605485822122,0.00003945141778771699
2007/01/24/afternoon,0.0004121449958751633,0.9995878550041247,0.9897960170024777,0.010203982997522232
2007/01/25/morning,0.00042403972266069623,0.9995759602773393,0.8437312049730542,0.1562687950269459
2007/01/25/afternoon,0.0030359581612979802,0.996964041838702,0.9280870642788533,0.07191293572114654
2007/01/26/morning,0.001600741822957108,0.998399258177043,0.9664102568879106,0.03358974311208929
2007/01/26/afternoon,0.007928207186841618,0.9920717928131583,0.9905144242316442,0.009485575768355847
2007/01/29/morning,0.15477583773821113,0.8452241622617888,0.9999366208316489,0.00006337916835108537
2007/01/29/afternoon,0.02871853148741832,0.9712814685125817,0.9970310840780846,0.0029689159219152828
2007/01/30/morning,0.020151921981579557,0.9798480780184204,0.9994436834596844,0.0005563165403157377
2007/01/30/afternoon,0.0010767153425583764,0.9989232846574416,0.9858807837220255,0.014119216277974633
2007/01/31/morning,0.0000136787244517933,0.9999863212755483,0.7382912551693533,0.26170874483064654
2007/01/31/afternoon,0.012345334815959674,0.9876546651840402,0.9787219610329835,0.02127803896701641
2007/02/01/morning,0.10482916236721529,0.8951708376327847,0.9999974357977892,2.5642022107863482e-6
2007/02/01/afternoon,0.10719682904706218,0.8928031709529378,0.9999838667505176,0.00001613324948235295
2007/02/02/morning,0.043662565469399395,0.9563374345306006,0.9998472261810316,0.00015277381896838804
2007/02/02/afternoon,0.0004582643348252091,0.9995417356651749,0.9751088353434744,0.024891164656525522
2007/02/05/morning,0.00001991966562675529,0.9999800803343734,0.8388400462149155,0.16115995378508452
2007/02/05/afternoon,0.0006015726894672557,0.9993984273105327,0.9480465968973105,0.05195340310268959
2007/02/06/morning,0.008926745014986803,0.9910732549850133,0.9946088698259987,0.00539113017400128
2007/02/06/afternoon,0.02957296027516154,0.9704270397248386,0.995337875974514,0.004662124025486047
2007/02/07/morning,0.00002152046757775139,0.9999784795324224,0.8040369599686679,0.19596304003133214
2007/02/07/afternoon,0.06761859005001192,0.9323814099499882,0.9998209375509672,0.00017906244903276303
2007/02/08/morning,0.0029705611395063336,0.9970294388604938,0.9789825652445386,0.021017434755461473
2007/02/08/afternoon,0.0010583900960710046,0.9989416099039289,0.9516488242880009,0.048351175711998984
2007/02/09/morning,0.21935590135919303,0.780644098640807,0.9999968538896506,3.146110349350195e-6
2007/02/09/afternoon,0.2755365480148666,0.7244634519851334,0.9999978984282114,2.1015717885930485e-6
2007/02/13/morning,0.432714035723222,0.567285964276778,0.9999996718614608,3.2813853922952774e-7
2007/02/13/afternoon,0.06391493442882279,0.9360850655711772,0.998682410904189,0.0013175890958110337
2007/02/14/morning,0.18149801287251566,0.8185019871274843,0.9999959306760161,4.069323984001727e-6
2007/02/14/afternoon,0.15145352981345805,0.8485464701865418,0.9999647621668402,0.00003523783315984019
2007/02/15/morning,0.000026489894120906854,0.9999735101058792,0.9209152957100718,0.07908470428992809
2007/02/15/afternoon,0.01103294142011757,0.9889670585798823,0.9973419045331876,0.0026580954668125045
2007/02/16/morning,0.006732460196542611,0.9932675398034575,0.9986994672634574,0.0013005327365425146
2007/02/16/afternoon,0.005291557031976257,0.9947084429680239,0.9975216370437034,0.0024783629562965537
2007/02/19/morning,0.22328853546063865,0.7767114645393614,0.9999997707554398,2.2924456022366257e-7
2007/02/19/afternoon,0.004116755291935892,0.995883244708064,0.9946640025691611,0.005335997430838901
2007/02/20/morning,3.939248016671115e-8,0.9999999606075198,0.6263603903574609,0.37363960964253895
2007/02/20/afternoon,0.3654337547630657,0.6345662452369345,0.9999984410255532,1.5589744468691435e-6
2007/02/21/morning,0.10184232207678479,0.8981576779232151,0.9996038760623872,0.0003961239376129022
2007/02/21/afternoon,0.0020471298421085304,0.9979528701578915,0.9315390869137179,0.0684609130862821
2007/02/22/morning,0.1987950964268661,0.8012049035731339,0.9999995863234337,4.1367656633539696e-7
2007/02/22/afternoon,0.004816770871598042,0.9951832291284018,0.9959815822202268,0.004018417779773298
2007/02/23/morning,0.042664080552234473,0.9573359194477655,0.9976407412151715,0.002359258784828455
2007/02/23/afternoon,0.2521753778551672,0.7478246221448328,0.9999888759174325,0.000011124082567537386
2007/02/26/morning,0.046735503910787735,0.9532644960892122,0.9991990450007161,0.0008009549992840093
2007/02/26/afternoon,0.00026298019811621387,0.9997370198018839,0.8745743598689032,0.12542564013109692
2007/02/27/morning,0.004053259119304098,0.995946740880696,0.9860550227709867,0.013944977229013222
2007/02/27/afternoon,0.000014264810970221475,0.9999857351890299,0.7399586250190955,0.26004137498090474
2007/02/28/morning,0.05364761447456501,0.946352385525435,0.9927009509148307,0.007299049085169429
2007/02/28/afternoon,0.06521386422359687,0.9347861357764031,0.9947930523825483,0.005206947617451663
2007/03/01/morning,0.06620111189868005,0.93379888810132,0.7805755827026093,0.2194244172973907
2007/03/01/afternoon,0.13564444954826338,0.8643555504517366,0.8746967956131853,0.12530320438681475
2007/03/02/morning,0.08062744565541591,0.919372554344584,0.9067610016582762,0.09323899834172389
2007/03/02/afternoon,0.09890225164126965,0.9010977483587304,0.9212910785548317,0.07870892144516839
2007/03/05/morning,0.19131141650041483,0.8086885834995853,0.955085465382921,0.04491453461707895
2007/03/05/afternoon,0.047863281690686765,0.9521367183093132,0.8777049508229593,0.12229504917704093
2007/03/06/morning,0.07599386428024646,0.9240061357197537,0.9612327596474983,0.038767240352501675
2007/03/06/afternoon,0.0345612526201573,0.9654387473798426,0.9351235644673753,0.06487643553262457
2007/03/07/morning,0.0010420851084544935,0.9989579148915455,0.6819746558305099,0.31802534416949
2007/03/07/afternoon,0.042877017369437276,0.9571229826305628,0.911789903382905,0.08821009661709489
2007/03/08/morning,0.13424376559730433,0.8657562344026958,0.9844499499927699,0.015550050007230087
2007/03/08/afternoon,0.2877662778643084,0.7122337221356918,0.9985397801144666,0.0014602198855331316
2007/03/09/morning,0.010539234872816827,0.9894607651271833,0.95040477549171,0.049595224508290014
2007/03/09/afternoon,0.04924161258232673,0.9507583874176733,0.9898234918474871,0.01017650815251292
2007/03/12/morning,0.003596993105608348,0.9964030068943917,0.9414181495326206,0.058581850467379404
2007/03/12/afternoon,0.06837110952625869,0.9316288904737413,0.9937264696212267,0.006273530378773318
2007/03/13/morning,0.005060635578959971,0.9949393644210399,0.9588085178149331,0.04119148218506696
2007/03/13/afternoon,0.0031656790880207897,0.9968343209119792,0.9458066861827199,0.0541933138172801
2007/03/14/morning,0.002198736678341806,0.9978012633216581,0.9355890279652295,0.06441097203477053
