,Infinity,Infinity
2007/01/04/morning,312.08206706872187,99.63448250562642
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,112.66760692372681,48.843164978157645
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,210.76059351894764,57.880257398826366
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,70.31053530111159,80.62593936164554
2007/01/11/morning,61.46891978101956,54.626357183331564
2007/01/11/afternoon,31.961825604291317,95.93702360961834
2007/01/12/morning,131.65410483385688,22.772213452281107
2007/01/12/afternoon,67.68967938180236,67.92699388077881
2007/01/15/morning,103.05674138090497,25.48493697816707
2007/01/15/afternoon,72.96109783347086,110.78980982355903
2007/01/16/morning,270.02932163806184,40.477243095155245
2007/01/16/afternoon,91.6335770558595,112.07546549242812
2007/01/17/morning,40.90989720035907,103.09593885178673
2007/01/17/afternoon,13563.126253829065,102178.39523887023
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,59.3188195258168,58.402803536405614
2007/01/19/morning,31.861175016776997,135.04914241579215
2007/01/19/afternoon,100.69630667530409,39.83050989675243
2007/01/22/morning,82.12445672902504,384.49733086432195
2007/01/22/afternoon,76.91636779835393,95.91849500047879
2007/01/23/morning,50.5716432910839,69.81038234591489
2007/01/23/afternoon,525.0939951907719,56.13279516061084
2007/01/24/morning,91.65189058091686,52.14519755223637
2007/01/24/afternoon,80.20789246031632,145.86387382376725
2007/01/25/morning,41.40907285090725,248.05491369521422
2007/01/25/afternoon,48.68971690893753,136.03610826634383
2007/01/26/morning,33.89820708278863,61.398556449227904
2007/01/26/afternoon,56.92261268862567,61.242023401731615
2007/01/29/morning,159.14999808988762,34.43288269857726
2007/01/29/afternoon,104.18587178970415,67.6355485497474
2007/01/30/morning,122.52090239599165,54.674980026743924
2007/01/30/afternoon,73.35087572161608,79.52285855251436
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,45.48186945481798,54.45633128578028
2007/02/01/morning,124.95640386401831,15.577503549091944
2007/02/01/afternoon,270.1495281076598,30.982467715025905
2007/02/02/morning,101.26785105078176,43.240706449933896
2007/02/02/afternoon,46.040124414173306,93.36359125829172
2007/02/05/morning,14.317657876390967,158.77638096073534
2007/02/05/afternoon,32.58080821868907,123.06388090729521
2007/02/06/morning,115.34409979960414,120.61326580947721
2007/02/06/afternoon,195.20712441221252,147.11901318078816
2007/02/07/morning,32.08779177147562,242.80786496622878
2007/02/07/afternoon,124.3346410555219,46.35719372097856
2007/02/08/morning,46.20388534107864,77.25579670620151
2007/02/08/afternoon,38.17442838756934,94.12455291364724
2007/02/09/morning,421.41190191477085,26.882499451685362
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
2007/02/13/afternoon,136.0860637885894,45.57476617831027
2007/02/14/morning,382.00666040893566,27.909609123293194
2007/02/14/afternoon,516.2578148677624,49.641811096205856
2007/02/15/morning,37.08280913990552,112.55266253556756
2007/02/15/afternoon,98.3569269157097,66.34761528052981
2007/02/16/morning,49.15256379477883,48.092844327202805
2007/02/16/afternoon,79.60564650385824,88.97795286213352
2007/02/19/morning,1576.0415595821123,2701.3405163409843
2007/02/19/afternoon,157.05516350641827,113.2291121175682
