,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.06190389976418054,0.9380960579790281,0.9965479767304299,0.0034520173119003683
2007/01/05/morning,2.3040683266237205e-6,0.9999976958660083,0.7161239925680777,0.2838759856409623
2007/01/05/afternoon,0.04123453891540396,0.9587654648755021,0.9958903506997654,0.004109646624500307
2007/01/09/morning,0.728103691220253,0.27189630714667534,0.9999991654185502,8.34561003454316e-7
2007/01/09/afternoon,0.1240995440947108,0.8759004453062984,0.9970070844005964,0.002992905727506767
2007/01/10/morning,1.737561530082768e-6,0.9999982624683583,0.5262662849241468,0.47373372439258854
2007/01/10/afternoon,0.022856017789217087,0.9771439865289325,0.9736638563831423,0.02633615838886061
2007/01/11/morning,0.02562061486768208,0.9743793542908359,0.9754238475537891,0.02457613757063859
2007/01/11/afternoon,0.0014471183739129811,0.9985528829980836,0.8700318557430301,0.1299681209032657
2007/01/12/morning,0.21794455967115933,0.7820553971541323,0.9993943189809906,0.0006056737916189103
2007/01/12/afternoon,0.010211846055286689,0.9897881458060885,0.9644191334052975,0.03558086064231292
2007/01/15/morning,0.086545532073937,0.9134544707786488,0.9999247283839111,0.00007525859115919964
2007/01/15/afternoon,0.006038569541844119,0.9939614359494159,0.9840647547032045,0.015935234122232633
2007/01/16/morning,0.15587399272512314,0.8441258899518782,0.9998154967016201,0.00018465881430629327
2007/01/16/afternoon,0.008557483701023938,0.9914425255083519,0.9784659468426371,0.02153388066010742
2007/01/17/morning,0.0004646451652602357,0.9995353441399643,0.9058691759029341,0.09413083045440074
2007/01/17/afternoon,0.2882427284489222,0.7179150151127929,0.9998647937990397,0.041558341143038025
2007/01/18/morning,0.26713793753903203,0.7328620622003322,0.9999097063195408,0.00009029223513579154
2007/01/18/afternoon,0.01717675543560615,0.9828232088583447,0.9796914476900666,0.020308545318436955
2007/01/19/morning,0.00007081716401946547,0.9999291847880971,0.8519874354638248,0.14801255744274822
2007/01/19/afternoon,0.06255443019331608,0.9374455220436789,0.9987306569720986,0.0012693162655277312
2007/01/22/morning,0.00014457310994742123,0.9998554461947581,0.9234265134157205,0.07657345462321874
2007/01/22/afternoon,0.0009423760870773679,0.999057536738663,0.9873637566385007,0.012636234970766158
2007/01/23/morning,0.002219429255519212,0.9977805801356859,0.9797214555226713,0.020278491756121175
2007/01/23/afternoon,0.16307574865854313,0.8371201751663102,0.9998632628268627,0.002555032378738553
2007/01/24/morning,0.016435450358989967,0.9835646424668746,0.9999605485822104,0.00003946933731036051
2007/01/24/afternoon,0.0004121373940632056,0.9995878550041164,0.9897960170024868,0.0102039716701664
2007/01/25/morning,0.000424036594650512,0.9995759602773363,0.8437312049730493,0.15626894782444556
2007/01/25/afternoon,0.0030359396847523534,0.9969640418387047,0.9280870642788445,0.07191293933266907
2007/01/26/morning,0.0016007334785803629,0.9983992581770429,0.9664102568878992,0.03358965677006154
2007/01/26/afternoon,0.007928199545593317,0.9920717928131524,0.9905144242316418,0.009485528839797364
2007/01/29/morning,0.15477583315217602,0.8452241622618141,0.9999366208316484,0.000063380354563769
2007/01/29/afternoon,0.02871852409522546,0.9712814685125671,0.9970310840780829,0.0029689109756738663
2007/01/30/morning,0.020151935807281918,0.9798480780184124,0.9994436834596809,0.0005563081786107427
2007/01/30/afternoon,0.001076677715358576,0.9989232846574405,0.9858807837220237,0.014119240734331018
2007/01/31/morning,0.000025164096747465337,0.9999863212755478,0.7382912551693558,0.26171015735588143
2007/01/31/afternoon,0.012345315430900783,0.9876546651840522,0.9787219610329824,0.021278021944055925
2007/02/01/morning,0.10482903199847027,0.8951708376327825,0.999997435797791,2.5779844416984332e-6
2007/02/01/afternoon,0.10719682542883047,0.8928031709529245,0.9999838667505166,0.000016107875353554846
2007/02/02/morning,0.043662566995875896,0.9563374345306039,0.9998472261810315,0.00015277778536859632
2007/02/02/afternoon,0.00045825215918293694,0.9995417356651721,0.9751088353434706,0.024891165192270526
2007/02/05/morning,0.00001993314863679707,0.9999800803343742,0.8388400462148484,0.16115994964971214
2007/02/05/afternoon,0.0006015675711301682,0.9993984273105332,0.9480465968973172,0.05195340761836609
2007/02/06/morning,0.008926762317499892,0.9910732549850051,0.9946088698260107,0.005391124104634271
2007/02/06/afternoon,0.02957296802832199,0.9704270397248109,0.9953378759745078,0.004662118617478783
2007/02/07/morning,0.000021544185504596136,0.9999784795324117,0.804036959968656,0.19596303059328846
2007/02/07/afternoon,0.06761858857456016,0.9323814099499977,0.9998209375509661,0.00017906578530346717
2007/02/08/morning,0.002970633492837771,0.9970294388604932,0.9789825652445344,0.021017439526625492
2007/02/08/afternoon,0.0010583724201002065,0.9989416099039284,0.9516488242880007,0.04835120918151359
2007/02/09/morning,0.2194539926356649,0.7806440986407961,0.9999968538896495,0.0012321767554835938
2007/02/09/afternoon,0.27553650168630617,0.7244634519851424,0.9999978984282084,2.102882212473567e-6
2007/02/13/morning,0.4327140195902194,0.5672859642767765,0.9999996718614625,3.284125240921032e-7
2007/02/13/afternoon,0.06391537694402327,0.9360850655711896,0.9986824109041842,0.0013175968613079458
2007/02/14/morning,0.18153138066174268,0.8185019871273658,0.9999959306760099,0.0004667767316036686
2007/02/14/afternoon,0.15145899385617,0.8485464701865847,0.9999647621668374,0.00012079181898760893
2007/02/15/morning,0.000026522530568340308,0.9999735101058799,0.9209152957100639,0.07908470227024123
2007/02/15/afternoon,0.011032925484210754,0.9889670585798872,0.9973419045331878,0.0026581189059848853
2007/02/16/morning,0.00673246631474167,0.9932675398034566,0.9986994672634502,0.0013005185150565257
2007/02/16/afternoon,0.00529155482754573,0.9947084429680196,0.9975216370437092,0.002478356078902122
2007/02/19/morning,0.22627234970497334,0.7767114645393343,0.99999977075544,0.038971625533502086
2007/02/19/afternoon,0.004116745872553285,0.9958832447080682,0.9946640025691651,0.005335976369281625
2007/02/20/morning,0.02119754816438113,0.9999999606075234,0.6263603903577156,0.37570666719783774
2007/02/20/afternoon,0.3654337756382573,0.6345662452369125,0.9999984410255524,1.5589591257289537e-6
2007/02/21/morning,0.101844237201697,0.8981576779232037,0.9996038760623832,0.00039610153993929753
2007/02/21/afternoon,0.002047220295657848,0.9979528701578885,0.9315390869137294,0.0684608921206612
2007/02/22/morning,0.19879509624194214,0.8012049035730999,0.9999995863234276,6.911229937234253e-7
2007/02/22/afternoon,0.004816719535831515,0.9951832291284018,0.9959815822202152,0.00401841269479708
2007/02/23/morning,0.04266408429237556,0.9573359194477562,0.9976407412151742,0.002359259112168277
2007/02/23/afternoon,0.25217537969683823,0.7478246221447953,0.9999888759174268,0.000011225536583836515
2007/02/26/morning,0.046735480115487005,0.9532644960892175,0.9991990450007047,0.0008009739337521138
2007/02/26/afternoon,0.0002629879136161195,0.9997370198018879,0.8745743598689207,0.12542534625504898
2007/02/27/morning,0.004053264905682585,0.9959467408806978,0.986055022770984,0.013945005377791087
2007/02/27/afternoon,0.000015595190883344046,0.9999857351890261,0.7399586250190499,0.26004157169157527
2007/02/28/morning,0.0536476128105573,0.9463523855254226,0.9927009509148227,0.007299034177803532
2007/02/28/afternoon,0.06521387669662182,0.9347861357764016,0.9947930523825488,0.00520698568314637
2007/03/01/morning,0.0662011142661253,0.9337988881013213,0.7805755827026262,0.21942440760163384
2007/03/01/afternoon,0.13564444513898577,0.8643555504517199,0.8746967956131735,0.1253031991115161
2007/03/02/morning,0.08062744951293144,0.919372554344579,0.9067610016582736,0.09323899638179867
2007/03/02/afternoon,0.09890681938715395,0.9010977483587188,0.9212910785547473,0.07870960299077079
2007/03/05/morning,0.19131140722563034,0.8086885834995613,0.9550854653829288,0.04491443497140235
2007/03/05/afternoon,0.04786326494240162,0.9521367183093096,0.8777049508229646,0.12229504679178116
2007/03/06/morning,0.07607558156862637,0.9240061357197511,0.9612327596474967,0.038767242928552936
2007/03/06/afternoon,0.034561253377997314,0.9654387473798433,0.935123564467371,0.06487643210857996
2007/03/07/morning,0.001042085340696261,0.9989579148915464,0.6819746558305132,0.31802534237126046
2007/03/07/afternoon,0.04287699297115344,0.9571229826305859,0.9117899033828715,0.08821009527079271
2007/03/08/morning,0.13424375666127242,0.865756234402704,0.9844499499927648,0.01555015189347797
2007/03/08/afternoon,0.28776624414205365,0.7122337221356878,0.998539780114466,0.0014602172101710331
2007/03/09/morning,0.01053922343061231,0.9894607651271835,0.9504047754917113,0.04959521613821838
2007/03/09/afternoon,0.0492415944162109,0.950758387417671,0.9898234918474802,0.010176542151741907
2007/03/12/morning,0.003596992620647943,0.9964030068943952,0.9414181495326082,0.05858183555226748
2007/03/12/afternoon,0.06837106324952791,0.9316288904737339,0.9937264696212201,0.006273535817554743
2007/03/13/morning,0.005060845100731237,0.9949393644210401,0.9588085178149234,0.04119146138253926
2007/03/13/afternoon,0.003165672941156994,0.9968343209119817,0.9458066861827241,0.054193102486752354
2007/03/14/morning,0.002198728411473283,0.9978012633216543,0.9355890279652193,0.06441098544752943
2007/03/14/afternoon,0.010753016966604578,0.9892469492184054,0.9721104712270302,0.027889529922769496
2007/03/15/morning,0.1490036252231639,0.850996375266484,0.9998483676162137,0.00015162093419984757
2007/03/15/afternoon,0.017528381506595303,0.9824716144093308,0.9853238984597527,0.014676115702972559
2007/03/16/morning,0.0017425186960500216,0.9982574786876394,0.936713741563053,0.06328628853151341
2007/03/16/afternoon,0.015067918167584016,0.9849318269790589,0.9888629479248056,0.011135399693103287
2007/03/19/morning,0.2210985422978915,0.7790636888002626,0.9997632119588924,0.0016428679951759895
2007/03/19/afternoon,0.17478899914176316,0.8252109287496822,0.9994896861391923,0.0005106949799181804
2007/03/20/morning,0.031669788241757146,0.9683302259854356,0.9862288162997755,0.01377082329062318
2007/03/20/afternoon,0.01942163916128281,0.9805784069761644,0.9742129901114911,0.025787018685196506
2007/03/22/morning,0.003955120734281836,0.9960448734037641,0.963744291676422,0.03625568613789032
2007/03/22/afternoon,0.001980832179925618,0.998019149856642,0.9657902460067228,0.03420978257635876
2007/03/23/morning,0.00013195073516958367,0.9998680557546422,0.862928701202735,0.13707130498980635
2007/03/23/afternoon,0.04718510178664603,0.9528147918977267,0.9916475455128247,0.008352309544263914
2007/03/26/morning,0.0000509727853916786,0.999949004787139,0.8959048698725682,0.10409497226532205
2007/03/26/afternoon,0.11608857563877928,0.8839126937767897,0.9997469250187564,0.000272324136007418
2007/03/27/morning,0.30188897373983814,0.6981110226582239,0.9999996986031032,3.012169079545657e-7
2007/03/27/afternoon,0.0003508364915554285,0.9996491659940993,0.9328439763659323,0.06715603457357688
2007/03/28/morning,0.01564337432059071,0.9843566200775942,0.9788270175359576,0.021172980955002862
2007/03/28/afternoon,0.0017232174527049837,0.9982767745911705,0.9451153303437617,0.054884641564570735
2007/03/29/morning,0.005590758942433327,0.9944092355522935,0.9675366500530658,0.03246331427860971
2007/03/29/afternoon,0.06255815286079114,0.9374418472223502,0.9954742607280139,0.004525741411405715
2007/03/30/morning,0.035616544199375544,0.9643835294017168,0.9975338617693467,0.0024662003402456945
2007/03/30/afternoon,0.025061754641526046,0.9749382610735157,0.9928840598829813,0.0071159440080933445
2007/04/02/morning,0.01796768756299949,0.9820323193238787,0.9872450997550665,0.012754864650721731
2007/04/02/afternoon,5.337864930399228e-6,0.9999946568194042,0.6727542793281908,0.3272457227083241
2007/04/03/morning,0.02107335789111353,0.9789266307206884,0.9931780813416079,0.006821921013303589
2007/04/03/afternoon,0.09818849997414936,0.9018115195888595,0.9996004255728013,0.0003995708129223008
2007/04/04/morning,0.09579715794617649,0.9062971560183721,0.9998150514922103,0.00018491740916870558
2007/04/04/afternoon,0.04441732432978229,0.955582671251206,0.9975064441324951,0.0024935657087267193
2007/04/05/morning,0.0051838040633848115,0.9948165726197163,0.9839906241443196,0.016009318829658503
2007/04/05/afternoon,0.06586141232105247,0.9341385691621318,0.9988094768901831,0.0011905214665948183
2007/04/06/morning,0.00006938330919670221,0.9999306421092415,0.9578028090329148,0.042197198683117665
2007/04/06/afternoon,0.06961085368522801,0.9304757184559626,0.9995513423250489,0.00258529205646596
2007/04/09/morning,0.0764768273911528,0.9235231854079978,0.9999401944149396,0.00005981008518651798
2007/04/09/afternoon,0.020969032455234737,0.9790309702264384,0.9968005628363028,0.0031994480069660325
2007/04/10/morning,0.01022682627314786,0.9897732751860882,0.9874243080231453,0.012576851522259513
2007/04/10/afternoon,0.0615353404228457,0.9384646544935064,0.9994514340826409,0.0005485516794812018
2007/04/11/morning,0.0013337761032720108,0.9986660121652936,0.9896543982850882,0.010345483436875802
2007/04/11/afternoon,0.01470714381832039,0.9852928657799421,0.9990617492370175,0.0009382218400970643
2007/04/12/morning,1.731863883830398e-7,0.9999998257585021,0.6929966688107909,0.30700332848118683
2007/04/12/afternoon,0.021087187044197098,0.9789128423326927,0.9938191492336617,0.006180855547404995
2007/04/13/morning,0.00020233123795121433,0.999799147849712,0.7883696646699856,0.2116305395399648
2007/04/13/afternoon,0.00017712981630657598,0.9998228654043121,0.8316480388384724,0.1683519781393713
2007/04/16/morning,0.238990541335384,0.7610094681242949,0.9999998014449221,1.9324534097919788e-7
2007/04/16/afternoon,0.00034986011360660374,0.9996502011073075,0.91750223006943,0.08249778838705424
2007/04/17/morning,0.012439633032793496,0.9999262072363714,0.8652445256071304,0.135555795749852
2007/04/17/afternoon,0.0018140172805370947,0.9981859795553549,0.9554914150468109,0.04450843086674405
2007/04/18/morning,0.10647408325232965,0.8935257623664326,0.9997854728884715,0.00021476318746849188
2007/04/18/afternoon,0.0017893762115152034,0.9982106252964988,0.9437970171135647,0.05620299029673437
2007/04/19/morning,0.0007656698108298166,0.9992342609040639,0.9466649471306108,0.0533349567944309
2007/04/19/afternoon,0.022221740834252324,0.977778269077271,0.9926533500777002,0.007346642765243772
2007/04/20/morning,0.004589498283900206,0.9954105061546019,0.9809256832723856,0.019074300910821074
2007/04/20/afternoon,0.0006318740284478874,0.9997654001635919,0.8664771073703175,0.13354520217854737
2007/04/23/morning,0.08608516420023826,0.9139146482866145,0.9992717992941891,0.000728189813565816
2007/04/23/afternoon,0.00040720293323881496,0.9995927735093864,0.8841398116065563,0.11586020088058013
2007/04/24/morning,0.00177734670369889,0.9982226770149236,0.9533781363644506,0.04662182762288769
2007/04/24/afternoon,0.12896843136024405,0.8710315618446289,0.9993585030529081,0.0006414812458207519
2007/04/25/morning,0.0005952836023356278,0.9994047128256993,0.8968172071564364,0.10318283382297855
2007/04/25/afternoon,0.017812457037645557,0.9821875543814531,0.9789427859805239,0.02105723051564401
2007/04/26/morning,0.002077858073741168,0.9979221521047771,0.9829233486565514,0.017076659848910047
2007/04/26/afternoon,0.02779435048778589,0.972205653231373,0.997569439680401,0.002430560674071436
2007/04/27/morning,0.006044254188284914,0.9939558548093554,0.9762258774506707,0.023773956716141242
2007/04/27/afternoon,0.010417040937774624,0.9895829497317229,0.9781774707699182,0.021822314552978672
2007/05/01/morning,0.00023300853289009993,0.9997670019109941,0.8866278190127718,0.11337216389438887
2007/05/01/afternoon,0.01512074450008205,0.9848792386518475,0.9880166644720263,0.011983327840743296
2007/05/02/morning,0.0008467224269212981,0.9991532858890713,0.9494502651635776,0.05054967622545703
2007/05/02/afternoon,0.14636085412772526,0.8542863902211651,0.9998578938730772,0.00769807580944315
2007/05/07/morning,0.10895696072477612,0.8910430145348784,0.9998680210558619,0.00013237482890604557
2007/05/07/afternoon,0.00681793454210311,0.9931821134410456,0.9873836380099166,0.01261632956202785
2007/05/08/morning,0.016384141794920426,0.9836158583563203,0.9934978965424079,0.006502116031934846
2007/05/08/afternoon,0.012722608078005626,0.9872771893535016,0.985558542701936,0.014441483921118325
2007/05/09/morning,0.028360668525517108,0.9716393342957762,0.9993621241909746,0.0006379022494058528
2007/05/09/afternoon,0.219472311921729,0.7805276788879687,0.9999928632284388,7.133806211118143e-6
2007/05/10/morning,0.001597720598061514,0.9984003818148205,0.9457531191360649,0.05424687368096848
2007/05/10/afternoon,0.015419764676205427,0.9845800035173566,0.9810874566582916,0.018912538043158178
2007/05/11/morning,0.000026004024477388477,0.9999738749833536,0.9076491677412212,0.09235084821814965
2007/05/11/afternoon,0.10036580820580954,0.8996342146285562,0.9996807568414482,0.00031925783609954017
2007/05/14/morning,0.06600666032931468,0.9339932819533624,0.9999105827216549,0.00008943874175093569
2007/05/14/afternoon,2.237289928069819e-6,0.9999977619456497,0.7578773323945951,0.24212266141391203
2007/05/15/morning,0.0009574507846644709,0.9990425414092569,0.9837042327446207,0.01629574885897178
2007/05/15/afternoon,0.0027118049670249444,0.9972882282485305,0.9791712649205399,0.020828725842596985
2007/05/16/morning,0.00005352480834019957,0.9999464944734606,0.9452274198226859,0.054772576391671546
2007/05/16/afternoon,0.22089336406031046,0.7791066351748357,0.9999956647074363,4.336851310557388e-6
2007/05/17/morning,0.02888432699982868,0.9711156512252133,0.9972543222678866,0.0027456562339799317
2007/05/17/afternoon,0.00019971724658174317,0.9999912379026334,0.7513931765072753,0.24862485678054957
2007/05/18/morning,0.03737015840212443,0.9999977282928185,0.8079916180506638,0.1950402539118472
2007/05/18/afternoon,0.0004415757517494123,0.9995584153582435,0.965584527958893,0.03441546612173585
2007/05/21/morning,0.0002816830174936502,0.9997183152954968,0.9720821269555224,0.027917864982616725
2007/05/21/afternoon,0.057979807202670264,0.9420202038237832,0.9997089615062027,0.00029102276877790434
2007/05/22/morning,0.11467335604159379,0.8853266423878259,0.9999799387916789,0.000020062120135055928
2007/05/22/afternoon,0.010586583218872292,0.9894134125669505,0.9948608598183846,0.0051391470901543945
2007/05/23/morning,0.009566643221084581,0.990433444721006,0.9987937224323507,0.0012062705408255603
2007/05/23/afternoon,0.00008283522197427562,0.9999171732946264,0.9379635341036283,0.06203645608548081
2007/05/24/morning,0.002877804492484426,0.9971221893974324,0.9815921975910514,0.018407501107391644
2007/05/24/afternoon,0.009812031343033434,0.9901879670002935,0.9931877456462441,0.006812239126001041
2007/05/25/morning,8.566495609541036e-7,0.9999991017251453,0.8619116937901617,0.1380883048336975
2007/05/25/afternoon,0.042080291195254804,0.9579197042977017,0.9990224295583755,0.0009773813026997535
2007/05/28/morning,0.07871411218083568,0.9212855758174597,0.9999584383346846,0.000041550237465104445
2007/05/28/afternoon,0.0021803092103308552,0.9978197061312023,0.967306517900563,0.03269341564867945
2007/05/29/morning,0.3433292694844612,0.6566707304007887,0.9999998997629166,9.985767747931751e-8
2007/05/29/afternoon,0.0752738654684032,0.9247261305166222,0.999512619011579,0.00048733846670867553
2007/05/30/morning,0.0024575487257586515,0.9975409131870334,0.9829949333603115,0.017004921551561858
2007/05/30/afternoon,0.011591983272033035,0.9884078143614748,0.9977924105989706,0.002207582831579291
2007/05/31/morning,0.07347702822712132,0.9265229678229923,0.9996551560447438,0.0003447911576759388
2007/05/31/afternoon,0.0246494238505911,0.9753505771498588,0.9968445600667396,0.003155202547662772
2007/06/01/morning,0.043731988523811105,0.9562686884862812,0.9902585744806071,0.009741409218706143
