,-1085.6939503914625,99.6339008875917
2007/02/14/morning,-122.79648717925625,27.909609285679835
2007/02/14/afternoon,-380.9953438128724,49.64181069920596
2007/02/15/morning,36.38271800371899,-274.53326386740173
2007/02/15/afternoon,-754.757424793214,-955.7509060446356
2007/02/16/morning,-694.4667532748684,-1014.2285529683579
2007/02/16/afternoon,-1298.3448585178846,-1631.9284478248412
2007/02/19/morning,923.595088137532,2701.3405160943294
2007/02/19/afternoon,-2107.2731214341616,-1892.029433018288
2007/02/20/morning,145.64130132612627,96.35908642792492
2007/02/20/afternoon,Infinity,Infinity
2007/02/21/morning,-323.2921822773578,57.527907238002626
2007/02/21/afternoon,45.82334365995398,-309.8688110161533
2007/02/22/morning,-48.04368587067199,29.444387139972605
2007/02/22/afternoon,-1407.582646055552,-1316.2254491167996
2007/02/23/morning,-703.8758457310398,73.72983742749686
2007/02/23/afternoon,-67.6552903418874,40.32149796239719
2007/02/26/morning,-543.2520564927661,68.89865500379528
2007/02/26/afternoon,38.42010969612966,-278.809240051802
2007/02/27/morning,-586.8634076015744,-524.4823808202826
2007/02/27/afternoon,Infinity,Infinity
2007/02/28/morning,-121.90139491220727,16.81538922174212
2007/02/28/afternoon,-206.26165081462236,29.584149515546788
2007/03/01/morning,Infinity,Infinity
2007/03/01/afternoon,195.0889610724314,170.261261174432
2007/03/02/morning,Infinity,Infinity
2007/03/02/afternoon,Infinity,Infinity
2007/03/05/morning,Infinity,Infinity
2007/03/05/afternoon,Infinity,Infinity
2007/03/06/morning,127.88577589788304,21.42334350626897
2007/03/06/afternoon,103.08472971374125,90.79255175846123
2007/03/07/morning,Infinity,Infinity
2007/03/07/afternoon,686.9163252089181,254.2981028624015
2007/03/08/morning,175.84992154554155,36.54107224853965
2007/03/08/afternoon,Infinity,Infinity
2007/03/09/morning,34.64477461868073,59.6005766896514
2007/03/09/afternoon,-345.66594066291043,54.97074658276296
2007/03/12/morning,40.446598019659085,-272.5133838235254
2007/03/12/afternoon,108.9332126018078,55.04589097446197
2007/03/13/morning,35.80363257685372,-335.3699177207566
2007/03/13/afternoon,28.870781030962846,-259.5400884630175
2007/03/14/morning,20.584155660817995,-142.67842577008344
2007/03/14/afternoon,36.960632134784795,-286.6776747351501
2007/03/15/morning,-106.87513591119634,17.386353235033766
2007/03/15/afternoon,51.20758678059234,48.03998854610479
2007/03/16/morning,24.607489923880983,-204.61130249722308
2007/03/16/afternoon,-290.62594302593857,35.80601656589339
2007/03/19/morning,34.86644031457968,19.431349786989813
2007/03/19/afternoon,-99.37889098242854,28.18866284406613
2007/03/20/morning,-308.9893392306875,46.565096247646565
2007/03/20/afternoon,69.01742314182582,74.0193958434357
2007/03/22/morning,60.34769346235385,-659.5947399731998
2007/03/22/afternoon,66.37336067240604,-721.634428610906
2007/03/23/morning,23.602371482639228,-112.83533031376915
2007/03/23/afternoon,-502.4303669455252,64.3592027132108
2007/03/26/morning,37.00245429543429,-223.09244571110943
2007/03/26/afternoon,-236.52499064549693,41.003863567344524
2007/03/27/morning,Infinity,Infinity
2007/03/27/afternoon,21.89923171083501,-253.94546228926635
2007/03/28/morning,56.629132880854364,67.01011965847324
2007/03/28/afternoon,18.61496065248482,-214.0550352014179
2007/03/29/morning,31.97644208320508,-246.71437135827608
2007/03/29/afternoon,-220.79262703325153,31.098515297997807
2007/03/30/morning,-283.73719943080437,29.612605616936463
2007/03/30/afternoon,-525.873302976809,52.11531580452602
2007/04/02/morning,45.47356862745692,64.99339519703152
2007/04/02/afternoon,Infinity,Infinity
2007/04/03/morning,-413.64368083782574,46.17819489242939
2007/04/03/afternoon,-200.51445077597046,36.47151783202867
