date,E,continuoustime,movfreq_model,movefreq_real
2007/01/04/morning,181.813261470409,7800,42,63
2007/01/05/morning,Inf,7200,0,161
2007/01/05/afternoon,80.6189519591945,9600,119,137
2007/01/09/morning,Inf,7200,0,115
2007/01/09/afternoon,107.689858276025,9600,89,120
2007/01/10/morning,Inf,7200,0,198
2007/01/10/afternoon,79.6735313441971,9600,120,143
2007/01/11/morning,60.1364253142486,7200,119,135
2007/01/11/afternoon,52.464003402729,9600,182,243
2007/01/12/morning,54.7752949802729,7170,130,212
2007/01/12/afternoon,66.0672925366719,9600,145,154
2007/01/15/morning,51.6936048687942,7200,139,137
2007/01/15/afternoon,104.25491194055,9600,92,111
2007/01/16/morning,96.2778317831381,7200,74,83
2007/01/16/afternoon,110.343659561906,9600,87,87
2007/01/17/morning,67.1030381638849,7170,106,146
2007/01/17/afternoon,57303.7275836203,9600,0,181
2007/01/18/morning,Inf,7200,0,156
2007/01/18/afternoon,61.0288477119414,9600,157,209
2007/01/19/morning,63.4654001729347,7200,113,136
2007/01/19/afternoon,69.0317517578671,9600,139,187
2007/01/22/morning,146.620289475363,7170,48,94
2007/01/22/afternoon,89.024948738376,9600,107,104
2007/01/23/morning,66.4386044995228,7200,108,108
2007/01/23/afternoon,743.959779762979,9600,12,98
2007/01/24/morning,76.6848028330956,7169,93,109
2007/01/24/afternoon,122.957231116466,9600,78,106
2007/01/25/morning,93.5506850891903,7200,76,128
2007/01/25/afternoon,79.2113513679944,9600,121,141
2007/01/26/morning,45.7829030580065,7200,157,177
2007/01/26/afternoon,58.3666824072183,9600,164,155
2007/01/29/morning,76.0616295054418,7200,94,140
2007/01/29/afternoon,87.7929268285704,9600,109,141
2007/01/30/morning,91.2101203434345,7200,78,143
2007/01/30/afternoon,78.2022340714535,9600,122,157
2007/01/31/morning,Inf,7200,0,147
2007/01/31/afternoon,54.7506854282354,9600,175,256
2007/02/01/morning,57.3209395308323,7200,125,163
2007/02/01/afternoon,108.836772341366,9600,88,145
2007/02/02/morning,76.6883024768245,7200,93,129
2007/02/02/afternoon,79.4738276063938,9600,120,141
2007/02/05/morning,49.0320864975596,7200,146,197
2007/02/05/afternoon,68.7154048560236,9600,139,170
2007/02/06/morning,124.148918377906,7200,57,92
2007/02/06/afternoon,173.765919085845,9600,55,79
2007/02/07/morning,80.9855717529618,7200,88,166
2007/02/07/afternoon,81.6766755488075,9600,117,162
2007/02/08/morning,65.0742602440568,7170,110,147
2007/02/08/afternoon,64.9082824072856,9600,147,171
2007/02/09/morning,372.221474917983,7200,19,103
2007/02/09/afternoon,Inf,9600,0,209
2007/02/13/morning,Inf,7200,0,149
2007/02/13/afternoon,90.0884170140693,9600,106,164
2007/02/14/morning,201.124692328374,7200,35,138
2007/02/14/afternoon,173.623845784114,9600,55,109
2007/02/15/morning,65.9529700571973,7170,108,146
2007/02/15/afternoon,87.9602465432032,9600,109,119
2007/02/16/morning,50.5414822331023,7200,142,122
2007/02/16/afternoon,87.8207687666351,9600,109,101
2007/02/19/morning,14972.2729819576,7200,0,111
2007/02/19/afternoon,142.870151078869,9600,67,76
2007/02/20/morning,6223.13033495993,7200,1,139
2007/02/20/afternoon,Inf,9600,0,90
2007/02/21/morning,100.529057545743,7200,71,107
2007/02/21/afternoon,73.105485615783,9600,131,213
2007/02/22/morning,131.438354411987,7170,54,114
2007/02/22/afternoon,122.166243207434,9600,78,113
2007/02/23/morning,120.315966238809,7200,59,89
2007/02/23/afternoon,134.960130341555,9600,71,144
2007/02/26/morning,87.546259329045,7200,82,100
2007/02/26/afternoon,92.13109864097,9600,104,154
2007/02/27/morning,54.9512235193411,7200,131,118
2007/02/27/afternoon,Inf,9600,0,158
2007/02/28/morning,22.8625442195223,7020,307,458
2007/02/28/afternoon,42.906379294452,9600,223,277
2007/03/01/morning,Inf,7200,0,70
2007/03/01/afternoon,82.5919218457724,9600,116,112
2007/03/02/morning,Inf,7200,0,114
2007/03/02/afternoon,Inf,9600,0,112
2007/03/05/morning,Inf,7110,0,99
2007/03/05/afternoon,Inf,9600,0,173
2007/03/06/morning,230.54702239239,7200,31,161
2007/03/06/afternoon,83.3645652486369,9600,115,143
2007/03/07/morning,Inf,7170,0,123
2007/03/07/afternoon,83.3605772157204,9600,115,181
2007/03/08/morning,70.5597871278687,7200,102,188
2007/03/08/afternoon,Inf,9600,0,300
2007/03/09/morning,46.8949928071299,7200,153,247
2007/03/09/afternoon,66.2500018855265,9600,144,193
2007/03/12/morning,61.3858124605693,7170,116,142
2007/03/12/afternoon,75.9426526076635,9600,126,165
2007/03/13/morning,53.7392615331585,7200,133,143
2007/03/13/afternoon,47.23469681698,9600,203,246
2007/03/14/morning,28.9363805398652,7050,243,256
2007/03/14/afternoon,39.8506642965886,9600,240,248
2007/03/15/morning,40.0864715776595,7140,178,172
