,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.00451612236100285,0.995483877638997,0.9999999999905239,9.475975559780636e-12
2007/01/05/morning,0.,1.,0.08849060078622337,0.9115093992137766
2007/01/05/afternoon,0.003029029254579818,0.9969709707454202,0.9999999999572496,4.275024778621628e-11
2007/01/09/morning,0.9999934814641032,6.518535896859478e-6,1.,0.
2007/01/09/afternoon,0.04047559886923158,0.9595244011307684,0.9999999999999925,7.549516567451064e-15
2007/01/10/morning,0.,1.,0.002405120323470154,0.9975948796765297
2007/01/10/afternoon,7.038906722822702e-6,0.9999929610932771,0.9999769318980585,0.000023068101941525754
2007/01/11/morning,5.1024746885453e-6,0.9999948975253116,0.999998284507649,1.7154923508400088e-6
2007/01/11/afternoon,0.,0.9999999999999999,0.9382283590063587,0.0617716409936413
2007/01/12/morning,0.2884129193634528,0.7115870806365472,1.,0.
2007/01/12/afternoon,3.2863312071640394e-10,0.999999999671367,0.9999716421114443,0.000028357888555596844
2007/01/15/morning,0.04057661115785938,0.9594233888421406,1.,0.
2007/01/15/afternoon,1.0927154736606326e-9,0.9999999989072845,0.9999965262390182,3.4737609817536708e-6
2007/01/16/morning,0.2702312346288698,0.7297687653711302,1.,0.
2007/01/16/afternoon,3.0460134414767026e-9,0.9999999969539866,0.9999837910499457,0.000016208950054164006
2007/01/17/morning,0.,1.,0.9853315899900894,0.014668410009910593
2007/01/17/afternoon,0.6920394883823966,0.3079605116176034,1.,0.
2007/01/18/morning,0.8538858941844107,0.1461141058155893,1.,0.
2007/01/18/afternoon,1.62958592864193e-6,0.9999983704140714,0.9999993925195315,6.074804685951563e-7
2007/01/19/morning,0.,1.,0.8759353438662391,0.12406465613376083
2007/01/19/afternoon,0.002626221451197175,0.9973737785488029,0.9999999999999999,0.
2007/01/22/morning,0.,1.,0.9092131108609498,0.0907868891390502
2007/01/22/afternoon,0.,0.9999999999999999,0.9999981190348329,1.8809651671780614e-6
2007/01/23/morning,1.6653345369377348e-13,0.9999999999998334,0.9999965282987265,3.471701273571881e-6
2007/01/23/afternoon,0.3699668020535958,0.6300331979464042,1.,0.
2007/01/24/morning,4.687957938287468e-6,0.9999953120420617,1.,0.
2007/01/24/afternoon,0.,1.,0.9999999456120716,5.438792838319273e-8
2007/01/25/morning,0.,1.,0.7803294348391002,0.21967056516089967
2007/01/25/afternoon,4.929390229335695e-14,0.9999999999999508,0.9920009599746895,0.007999040025310489
