,Infinity,Infinity
2007/01/04/morning,243.00007418257817,93.49571353457043
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,74.13063399564552,46.46657022645777
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,149.08427442267248,60.572030703278145
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,62.851265126807704,64.77189582505741
2007/01/11/morning,53.9134211753984,55.61252645646421
2007/01/11/afternoon,30.062815227533736,66.7453429052507
2007/01/12/morning,78.67324744252483,23.207845039003995
2007/01/12/afternoon,68.56360968066792,63.265430014973795
2007/01/15/morning,69.82030587624728,23.88841688604677
2007/01/15/afternoon,81.96241944758154,94.81866744617471
2007/01/16/morning,134.85602575164512,37.94763716963878
2007/01/16/afternoon,93.76460320074631,95.20793746896757
2007/01/17/morning,43.03115904613904,74.36407015822448
2007/01/17/afternoon,16625.682460504446,111141.44161798686
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,51.84219513366548,57.54254696033207
2007/01/19/morning,30.608446002998296,86.24640693457457
2007/01/19/afternoon,79.06381205335558,42.25022859972142
2007/01/22/morning,88.74998380245951,200.06698999713058
2007/01/22/afternoon,82.87464276382823,95.10326654110153
2007/01/23/morning,46.75687966863889,59.55851646316668
2007/01/23/afternoon,272.7175615716876,1212.6231449267077
2007/01/24/morning,76.21088965818092,48.304478350511936
2007/01/24/afternoon,71.14241265969348,130.7851758192547
2007/01/25/morning,43.0779080067706,134.9930711540265
2007/01/25/afternoon,50.38959534103774,105.40228415473318
2007/01/26/morning,33.722131877109646,57.457243638425936
2007/01/26/afternoon,55.515121944243944,61.21376644952879
2007/01/29/morning,109.13924071867756,35.88796394766335
2007/01/29/afternoon,104.78215944913737,70.01082149406551
2007/01/30/morning,108.9883067292509,54.642835854428185
2007/01/30/afternoon,68.49162192780727,76.39293331218842
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,42.50258903188956,45.18574431186478
2007/02/01/morning,77.11829255442996,13.749094622197058
2007/02/01/afternoon,145.02010311018054,27.32303464839903
2007/02/02/morning,81.38715487763383,42.390514619482516
2007/02/02/afternoon,44.851354706636656,85.36645394959984
2007/02/05/morning,13.415367773902197,75.15769348792736
2007/02/05/afternoon,30.477123614710635,95.35662800429563
2007/02/06/morning,109.14839090390078,121.03420947980563
2007/02/06/afternoon,171.13627337907997,147.53377421637728
2007/02/07/morning,30.873472102844424,116.31410944828872
2007/02/07/afternoon,94.40441342280084,48.75886746137954
2007/02/08/morning,41.621542206191094,77.73558746656543
2007/02/08/afternoon,34.62356225938081,85.18243444939091
2007/02/09/morning,178.20469252428643,587.6914218930818
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
2007/02/13/afternoon,104.02024722762843,43.22558300917639
2007/02/14/morning,173.27454687569048,228.9957883662396
2007/02/14/afternoon,246.59465752261053,84.76052412709191
2007/02/15/morning,35.00775063065985,88.0036483255503
2007/02/15/afternoon,89.68583203526777,68.20327169623417
2007/02/16/morning,49.36297810637342,51.65737648705259
2007/02/16/afternoon,80.4440368146605,95.12013421378032
2007/02/19/morning,2561.751178841208,30476.093785985708
2007/02/19/afternoon,166.57391829417602,119.07248964128351
2007/02/20/morning,13735.243136851625,1493.8086835251888
2007/02/20/afternoon,Infinity,Infinity
2007/02/21/morning,130.16985048179203,56.29375587913005
2007/02/21/afternoon,45.570997774168006,83.00197086293667
2007/02/22/morning,178.996719256009,28.84252911419996
2007/02/22/afternoon,118.78189857554413,84.73826259659445
2007/02/23/morning,154.2733485058862,70.39364527286595
2007/02/23/afternoon,199.40905880758487,38.8045744200961
2007/02/26/morning,104.86202215934154,68.8288628209677
2007/02/26/afternoon,40.43300350410731,136.2840439528317
2007/02/27/morning,33.67775883071151,64.93433996093611
2007/02/27/afternoon,Infinity,Infinity
2007/02/28/morning,28.917421649301623,16.47837023715785
2007/02/28/afternoon,55.74938921153495,29.194611434737798
2007/03/01/morning,Infinity,Infinity
2007/03/01/afternoon,80.51795618423566,79.49900386402936
2007/03/02/morning,Infinity,Infinity
2007/03/02/afternoon,Infinity,Infinity
2007/03/05/morning,Infinity,Infinity
2007/03/05/afternoon,Infinity,Infinity
2007/03/06/morning,74.20711629887944,308.90965545943595
2007/03/06/afternoon,52.747434904936235,33.719444918771885
2007/03/07/morning,Infinity,Infinity
2007/03/07/afternoon,76.75947861139646,86.49561190552026
2007/03/08/morning,74.6335792195411,39.70864146871355
2007/03/08/afternoon,Infinity,Infinity
2007/03/09/morning,29.15485856911603,54.77705718958471
2007/03/09/afternoon,57.027436488460744,57.03764699932931
2007/03/12/morning,43.35940817839154,59.0166812957182
2007/03/12/afternoon,89.535058071487,46.110855232619606
2007/03/13/morning,33.98855816232557,61.880515980349166
2007/03/13/afternoon,27.660640070563446,57.07310166958638
2007/03/14/morning,21.537827087702293,35.85999749363533
2007/03/14/afternoon,37.71595059622757,41.86661999660815
2007/03/15/morning,58.71300758164854,17.378646488413967
2007/03/15/afternoon,53.91252099413592,45.210668825604486
2007/03/16/morning,22.907945431592537,50.133438247455516
2007/03/16/afternoon,28.47979694547352,31.53076345168678
2007/03/19/morning,143.43178628848023,704.897511980719
2007/03/19/afternoon,82.03827092861204,27.45721504856259
2007/03/20/morning,49.354492467297035,49.11982056140171
2007/03/20/afternoon,61.944608337933204,75.48015872435438
2007/03/22/morning,53.97203872260656,84.58499555608296
2007/03/22/afternoon,59.926757893965686,99.90330665184362
2007/03/23/morning,25.52491740376872,66.23290589517981
2007/03/23/afternoon,87.44237951791538,58.35496502001832
2007/03/26/morning,33.63866829006137,83.06345899720412
2007/03/26/afternoon,142.83284149385463,46.181738905904666
2007/03/27/morning,Infinity,Infinity
2007/03/27/afternoon,24.297559584330315,62.10907535518603
2007/03/28/morning,56.07833222240794,66.53499536395847
2007/03/28/afternoon,19.830504973382546,40.849537154010605
2007/03/29/morning,26.943287531669256,37.118922673127486
2007/03/29/afternoon,46.71292262943823,27.807766851851206
2007/03/30/morning,45.876768541717624,30.386017596078457
2007/03/30/afternoon,62.811108464043095,52.493420299524246
2007/04/02/morning,46.67368199385818,60.60394437792732
2007/04/02/afternoon,Infinity,Infinity
2007/04/03/morning,46.81579896273466,44.24635489322591
2007/04/03/afternoon,76.72753977380336,35.52334798110308
2007/04/04/morning,51.96651544977361,18.39189521128449
2007/04/04/afternoon,87.90234882040951,48.73073935964037
2007/04/05/morning,31.22450957144259,38.88853636658455
2007/04/05/afternoon,106.99953615506595,53.09030273439877
2007/04/06/morning,20.564431890161895,60.01094310650353
2007/04/06/afternoon,198.66859492677077,1072.969172681995
2007/04/09/morning,71.56842523270412,12.337377265497482
2007/04/09/afternoon,155.45815773621592,54.647847241427066
2007/04/10/morning,58.49312736483114,55.458820450824554
2007/04/10/afternoon,118.16723164005961,49.82921986344648
2007/04/11/morning,52.243691546815654,55.929721222019936
2007/04/11/afternoon,97.07571402212005,48.543011133497295
2007/04/12/morning,Infinity,Infinity
2007/04/12/afternoon,94.13479254869469,81.8262918432984
2007/04/13/morning,Infinity,Infinity
2007/04/13/afternoon,15.542888675317066,73.11357126183435
2007/04/16/morning,Infinity,Infinity
2007/04/16/afternoon,44.796935223380736,118.3409304476663
2007/04/17/morning,8008.710748093523,601.9480776960249
2007/04/17/afternoon,27.761387422420217,52.962180223159656
2007/04/18/morning,56.111320883149745,19.588022125602873
2007/04/18/afternoon,43.37970216647097,80.4743228299199
2007/04/19/morning,15.39223924245766,32.372642118556925
2007/04/19/afternoon,29.377593755104314,24.95360134102507
2007/04/20/morning,36.05952529353596,35.30261278849676
2007/04/20/afternoon,234.1200801099035,150.2344631486161
2007/04/23/morning,72.21906135837061,34.686340424717734
2007/04/23/afternoon,17.690790674029834,52.15948913602895
2007/04/24/morning,29.324744577081248,37.04564433438956
2007/04/24/afternoon,72.36203495606819,21.500501726438156
2007/04/25/morning,22.917938678607854,45.55235505779727
2007/04/25/afternoon,63.32700880758131,55.18350056739254
2007/04/26/morning,41.00301816029512,54.481604689319724
2007/04/26/afternoon,65.87141821745794,39.73550029783072
2007/04/27/morning,19.479146299555342,33.70943971851304
2007/04/27/afternoon,26.90279397219756,42.31358150422044
2007/05/01/morning,17.293826988864396,47.02649341631205
2007/05/01/afternoon,59.189551145152166,53.72772414810976
2007/05/02/morning,35.630561611558775,63.438035918476714
2007/05/02/afternoon,Infinity,Infinity
2007/05/07/morning,75.62651598186855,38.70947651485073
2007/05/07/afternoon,50.31377749497916,81.15815770099582
2007/05/08/morning,80.93880665530291,64.84689858835686
2007/05/08/afternoon,97.20727372018938,95.4268085472859
2007/05/09/morning,90.80092312425207,37.21537929952101
2007/05/09/afternoon,Infinity,Infinity
2007/05/10/morning,36.758091733051664,76.13803765404971
2007/05/10/afternoon,88.3268781299711,107.17391543822002
2007/05/11/morning,25.958097579437148,64.80256812857286
2007/05/11/afternoon,148.04957074222838,53.712143289258506
2007/05/14/morning,94.72181700283437,41.67416631716619
2007/05/14/afternoon,Infinity,Infinity
2007/05/15/morning,28.046412429674888,54.06944662162899
2007/05/15/afternoon,51.2076415100679,93.87759309672992
2007/05/16/morning,32.64784280675273,90.9364554989875
2007/05/16/afternoon,Infinity,Infinity
2007/05/17/morning,83.47831585788175,74.8895687983091
2007/05/17/afternoon,115.42144515081124,183.94552425289612
2007/05/18/morning,Infinity,Infinity
2007/05/18/afternoon,27.336876493951372,54.283584994311724
2007/05/21/morning,37.790409190144274,55.274741015189925
2007/05/21/afternoon,101.26116186533557,38.37691766327573
2007/05/22/morning,69.68041908297207,30.61119039343836
2007/05/22/afternoon,36.76767703531026,47.530716443938346
2007/05/23/morning,36.46057895296515,41.849208353060924
2007/05/23/afternoon,27.03457475869328,99.82334341349362
2007/05/24/morning,44.48777400826342,50.724819455393984
2007/05/24/afternoon,57.962464231112165,45.67974257411438
2007/05/25/morning,15.64659629851724,55.6670394709427
2007/05/25/afternoon,137.6650349183263,67.1451053250719
2007/05/28/morning,79.9335325027752,35.14445069401639
2007/05/28/afternoon,78.39030408415184,143.3742749767481
2007/05/29/morning,Infinity,Infinity
2007/05/29/afternoon,205.74692265351527,80.70268631988489
2007/05/30/morning,37.71270927070657,47.67718077549314
2007/05/30/afternoon,42.397642831278716,31.170080181512784
2007/05/31/morning,54.27811968137873,23.023120576551847
2007/05/31/afternoon,76.64202589560294,51.83291839315951
2007/06/01/morning,90.39975156400214,66.3072825536959
2007/06/01/afternoon,61.01164919784743,95.7004697689506
2007/06/04/morning,Infinity,Infinity
2007/06/04/afternoon,100.05062911386335,182.10873057403276
2007/06/05/morning,Infinity,Infinity
2007/06/05/afternoon,Infinity,Infinity
2007/06/06/morning,171.39958796901738,428.66766380174863
2007/06/06/afternoon,130.48693410059565,176.44201047375972
2007/06/07/morning,51.797469841169324,43.68368669339794
2007/06/07/afternoon,Infinity,Infinity
2007/06/08/morning,17.30365495201608,44.37989802776865
2007/06/08/afternoon,96.09138273599424,67.67281776303611
2007/06/11/morning,58.32660854732604,177.44508730524277
2007/06/11/afternoon,110.21423523122736,255.55581970552726
2007/06/12/morning,Infinity,Infinity
2007/06/12/afternoon,124.48192121422585,68.41827956360761
2007/06/13/morning,62.49529148752898,58.85894619908792
2007/06/13/afternoon,161.57252850438945,59.24769285539056
2007/06/14/morning,28.31115938715155,64.24760929061893
2007/06/14/afternoon,50.24531043971999,219.4981697086366
2007/06/15/morning,379.3107405531114,343.67213251656267
2007/06/15/afternoon,152.85554974279512,66.94369310320938
2007/06/18/morning,102.8171946994452,94.78486170563195
2007/06/18/afternoon,213.88689552182436,61.37962811827871
2007/06/19/morning,91.90616627302964,47.425714605367745
2007/06/19/afternoon,555.964863339244,81.00563807767688
2007/06/20/morning,Infinity,Infinity
2007/06/20/afternoon,66.19417414028666,151.33988801937588
2007/06/21/morning,Infinity,Infinity
2007/06/21/afternoon,90.36166415642566,208.6011465629113
2007/06/22/morning,34.18807214306121,149.98236490040978
2007/06/22/afternoon,175.70793751458882,41.41645945499204
2007/06/25/morning,95.15282956007893,66.63133764270741
2007/06/25/afternoon,62.174720163521755,75.7213341427128
2007/06/26/morning,22.570486081417492,135.7631310275532
2007/06/26/afternoon,69.738521184148,100.4589649954672
2007/06/27/morning,33.570768815660244,118.99293100230673
2007/06/27/afternoon,Infinity,Infinity
2007/06/28/morning,137.38410062318476,47.493049459128144
2007/06/28/afternoon,152.68375761364484,89.69346849733616
2007/06/29/morning,Infinity,Infinity
2007/06/29/afternoon,117.64249928567212,35.91950020390983
2007/07/02/morning,82.19421005411057,155.14744072800787
2007/07/02/afternoon,Infinity,Infinity
2007/07/03/morning,207.18224020236565,331.26935153852804
2007/07/03/afternoon,183.86561371937236,158.75307821457417
2007/07/04/morning,81.40283900498144,31.34957389165639
2007/07/04/afternoon,157.1003686265221,345.15411556038043
2007/07/05/morning,Infinity,Infinity
2007/07/05/afternoon,Infinity,Infinity
2007/07/06/morning,Infinity,Infinity
2007/07/06/afternoon,Infinity,Infinity
2007/07/09/morning,4663.158843216703,126603.96127663851
2007/07/09/afternoon,243.30072617658925,167.36301932523492
2007/07/10/morning,47.368106357359466,174.65098684018258
2007/07/10/afternoon,1166.0299018603464,537.0371555100012
2007/07/11/morning,42.47630785584082,72.1806848481807
2007/07/11/afternoon,227.82640229181274,49.5969298609478
2007/07/12/morning,291.976420915303,80.88357590167837
2007/07/12/afternoon,Infinity,Infinity
2007/07/13/morning,Infinity,Infinity
2007/07/13/afternoon,114.43728014371264,119.68969219372703
2007/07/17/morning,54.60872574761974,176.62925147568762
2007/07/17/afternoon,269.50559247947444,142.9877577115923
2007/07/18/morning,Infinity,Infinity
2007/07/18/afternoon,91.56324475805582,79.97331447136476
2007/07/19/morning,83.9378268444898,230.29261858645594
2007/07/19/afternoon,273.6285137738216,61.836124640650276
2007/07/20/morning,205.72005574546728,32.36081664685676
2007/07/20/afternoon,151.45903010817642,282.19286291656465
2007/07/23/morning,32.15233529608243,119.20200773184487
2007/07/23/afternoon,177.6959042444736,165.30984812260675
2007/07/24/morning,26.949584451153402,120.99903058839834
2007/07/24/afternoon,8446.56857248107,144609.72163412522
2007/07/25/morning,53.762042462404764,45.910706249546884
2007/07/25/afternoon,145.65320948601436,50.32755993466678
2007/07/26/morning,71.48568597880431,60.56704321669396
2007/07/26/afternoon,31.848299425627435,82.55822903407542
2007/07/27/morning,42.10137118705216,20.908930569674776
2007/07/27/afternoon,28.725243717066565,33.17849977922694
2007/07/30/morning,52.4912587831568,23.522661277828306
2007/07/30/afternoon,116.61827362747442,17.714423322845136
2007/07/31/morning,29.054661007487482,92.6371293209207
2007/07/31/afternoon,65.27289756075984,88.49052459671641
2007/08/01/morning,19.048754974194896,32.808048829261125
2007/08/01/afternoon,10.073366995517675,42.72439504022769
2007/08/02/morning,32.83850467855665,26.474633977323734
2007/08/02/afternoon,23.604579698084393,13.658500841502097
2007/08/03/morning,36.33281773026009,46.69230414261818
2007/08/03/afternoon,28.45734938685746,40.711043662730056
2007/08/06/morning,44.535702025779266,16.965913300722143
2007/08/06/afternoon,31.6702447878299,26.228098590064874
2007/08/07/morning,15.487612848845798,56.28673521221654
2007/08/07/afternoon,26.40476974139662,33.649823290831414
2007/08/08/morning,22.047277165868113,25.777545754339307
2007/08/08/afternoon,43.352646346016456,42.53520429354114
2007/08/09/morning,38.83989720240165,34.229329285892604
2007/08/09/afternoon,48.09042534050206,73.87559705764252
