,243.00007418257817,116.86798962260964
2007/01/04/morning,243.00007418257817,116.86798962260964
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,98.35612896622521,61.950449406456464
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,149.08427442267248,60.572030703278145
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,78.48507716668314,80.85663782071668
2007/01/11/morning,64.63197070369174,55.61252645646421
2007/01/11/afternoon,36.07700203385048,66.7453429052507
2007/01/12/morning,79.61370146048765,23.21150249762631
2007/01/12/afternoon,68.65397549156528,63.544016836033926
2007/01/15/morning,69.82030587624728,31.851430816440967
2007/01/15/afternoon,81.96241944758154,126.20218830579785
2007/01/16/morning,134.85602575164512,50.58685725101037
2007/01/16/afternoon,93.76460320074631,126.57896285229839
2007/01/17/morning,43.03115904613904,88.43953830094455
2007/01/17/afternoon,16625.682460504446,113956.41255631635
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,64.50588947242541,57.54254696033207
2007/01/19/morning,36.729381488206435,86.24640693457457
2007/01/19/afternoon,93.74040255432728,42.25022859972142
2007/01/22/morning,88.74998380245951,200.06698999713058
2007/01/22/afternoon,82.87464276382823,95.10326654110153
2007/01/23/morning,58.403435554194814,74.29031421239007
2007/01/23/afternoon,334.35254089904265,1258.0306642666467
2007/01/24/morning,95.0092893814981,57.96465366769707
2007/01/24/afternoon,88.92452941569431,156.56223465996192
2007/01/25/morning,43.0831212501941,136.2656369058842
2007/01/25/afternoon,50.424791443599446,106.05250544354374
2007/01/26/morning,33.722131877109646,57.457243638425936
2007/01/26/afternoon,55.515121944243944,61.21376644952879
2007/01/29/morning,110.16405040641882,35.88858163836863
2007/01/29/afternoon,105.10384810442815,70.04692128078543
2007/01/30/morning,126.90524647086119,54.64960610860839
2007/01/30/afternoon,79.90167972818519,76.52353005032587
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,53.08741086440993,56.39493343482382
2007/02/01/morning,91.34538973139863,18.332505614168266
2007/02/01/afternoon,171.8736255659666,36.43075546838423
2007/02/02/morning,101.07552921903712,50.868370000353366
2007/02/02/afternoon,56.062177126643775,102.182573011354
2007/02/05/morning,17.8879504611135,75.15769348792736
2007/02/05/afternoon,40.63654421210631,95.35662800429563
2007/02/06/morning,127.24709538350362,121.03420947980563
2007/02/06/afternoon,199.19935875432844,147.53377421637728
2007/02/07/morning,37.04793288353321,116.31410944828872
2007/02/07/afternoon,111.8155221611484,48.75886746137954
2007/02/08/morning,52.020159570877105,77.91437383956574
2007/02/08/afternoon,43.27851855836071,85.55206365465425
2007/02/09/morning,208.5515215350722,594.0913601453502
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
2007/02/13/afternoon,123.33262137634541,54.030861752280565
2007/02/14/morning,174.50634740196688,233.58788807211943
2007/02/14/afternoon,248.40344379654516,85.63699377652831
2007/02/15/morning,42.00942452559778,88.0036483255503
2007/02/15/afternoon,107.5007845022464,68.20327169623417
2007/02/16/morning,49.43129193743695,51.65737648705259
2007/02/16/afternoon,80.53999762557982,95.12013421378032
2007/02/19/morning,2561.751178841208,30950.560924603666
2007/02/19/afternoon,166.57391829417602,119.19023392286931
2007/02/20/morning,13982.738823616368,1705.157995451721
2007/02/20/afternoon,Infinity,Infinity
2007/02/21/morning,130.16985048179203,67.54508859772051
2007/02/21/afternoon,45.570997774168006,98.34489599857513
2007/02/22/morning,204.88012967715372,36.02686683020327
2007/02/22/afternoon,138.53700030693903,105.7905496392367
2007/02/23/morning,154.78356034830995,84.46533554492416
2007/02/23/afternoon,201.2944209100135,46.559726505730254
2007/02/26/morning,105.41802916196454,68.84169825988519
2007/02/26/afternoon,40.436618864695795,137.46260760658078
2007/02/27/morning,44.88266243631298,64.93433996093611
2007/02/27/afternoon,Infinity,Infinity
2007/02/28/morning,28.917421649301623,16.50678754545544
2007/02/28/afternoon,55.74938921153495,29.231581121214244
2007/03/01/morning,Infinity,Infinity
2007/03/01/afternoon,85.69989385307147,79.49900386402936
2007/03/02/morning,Infinity,Infinity
2007/03/02/afternoon,Infinity,Infinity
2007/03/05/morning,Infinity,Infinity
2007/03/05/afternoon,Infinity,Infinity
2007/03/06/morning,145.42055158421203,322.7342691275345
2007/03/06/afternoon,103.08141555479841,64.88584095221083
2007/03/07/morning,Infinity,Infinity
2007/03/07/afternoon,76.75947861139646,89.67658610741182
2007/03/08/morning,96.26572004090372,39.70864146871355
2007/03/08/afternoon,Infinity,Infinity
2007/03/09/morning,38.72660644169327,54.77705718958471
2007/03/09/afternoon,74.92346136565403,57.03764699932931
2007/03/12/morning,43.35940817839154,78.05710024224149
2007/03/12/afternoon,89.535058071487,61.47356663800859
2007/03/13/morning,45.30563954582291,61.880515980349166
2007/03/13/afternoon,36.87640072048348,57.07310166958638
2007/03/14/morning,21.55056214694585,35.85999749363533
2007/03/14/afternoon,37.79746705873538,41.86661999660815
2007/03/15/morning,59.50346751309171,17.378646488413967
2007/03/15/afternoon,54.10273971204533,45.210668825604486
2007/03/16/morning,30.52134105961907,61.75627654753747
2007/03/16/afternoon,37.76663454523331,39.290237569821194
2007/03/19/morning,144.43353908801578,709.633685106094
2007/03/19/afternoon,83.16414675419793,34.31575367457617
2007/03/20/morning,61.53092574369351,49.26069343871807
2007/03/20/afternoon,77.33077300456611,75.77618428028424
2007/03/22/morning,71.95609605993614,111.52957639224796
2007/03/22/afternoon,79.8949587287627,131.74966004061207
2007/03/23/morning,25.526051992649673,81.42238439564005
2007/03/23/afternoon,88.01767864656935,72.93660622603858
2007/03/26/morning,44.851772083880526,107.60428903186659
2007/03/26/afternoon,186.58410396030126,58.983902485555284
2007/03/27/morning,Infinity,Infinity
2007/03/27/afternoon,24.297559584330315,81.8402510545664
2007/03/28/morning,56.07833222240794,66.53499536395847
2007/03/28/afternoon,19.830504973382546,40.849537154010605
2007/03/29/morning,35.84466212440193,49.29542134034209
2007/03/29/afternoon,61.15128766486826,37.07757377024669
2007/03/30/morning,60.45420136996071,30.386017596078457
2007/03/30/afternoon,83.04720443226029,52.493420299524246
2007/04/02/morning,46.67368199385818,75.68915263059242
2007/04/02/afternoon,Infinity,Infinity
2007/04/03/morning,62.23832381531712,55.198109999101526
2007/04/03/afternoon,100.63010299394486,44.39799470400234
2007/04/04/morning,67.4746568841999,18.393413626752565
