,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.004716933075955554,0.9952830669240444,0.9999999999909898,9.01012597864792e-12
2007/01/05/morning,0.,1.,0.08940604240724963,0.9105939575927504
2007/01/05/afternoon,0.0029899750271262793,0.9970100249728737,0.9999999999597514,4.0248693267130875e-11
2007/01/09/morning,0.9999945183098224,5.481690177580493e-6,1.,0.
2007/01/09/afternoon,0.042148473672684705,0.9578515263273153,0.9999999999999913,8.659739592076221e-15
2007/01/10/morning,0.,1.,0.0020956208195650333,0.9979043791804351
2007/01/10/afternoon,6.815708866847459e-6,0.9999931842911332,0.9999757989583637,0.000024201041636251475
2007/01/11/morning,5.343817675473872e-6,0.9999946561823245,0.999998284507649,1.7154923508400088e-6
2007/01/11/afternoon,0.,0.9999999999999999,0.9382283590063587,0.0617716409936413
2007/01/12/morning,0.2872255764486922,0.7127744235513078,1.,0.
2007/01/12/afternoon,3.090090405777346e-10,0.999999999690991,0.99997248965533,0.00002751034466985658
2007/01/15/morning,0.043092429646400365,0.9569075703535995,1.,0.
2007/01/15/afternoon,1.1797736121366142e-9,0.9999999988202263,0.9999966195005119,3.3804994881148076e-6
2007/01/16/morning,0.2793211569450875,0.7206788430549124,1.,0.
2007/01/16/afternoon,3.3846574432061516e-9,0.9999999966153427,0.9999825960281112,0.00001740397188876308
2007/01/17/morning,0.,1.,0.9855242671625507,0.014475732837449407
2007/01/17/afternoon,0.699835501393631,0.30016449860636896,1.,0.
2007/01/18/morning,0.8610122467408755,0.13898775325912438,1.,0.
2007/01/18/afternoon,1.7813048371895235e-6,0.9999982186951628,0.9999993615766556,6.384233444123311e-7
2007/01/19/morning,0.,1.,0.8759353438662391,0.12406465613376083
2007/01/19/afternoon,0.002759574800111908,0.9972404251998881,0.9999999999999999,0.
2007/01/22/morning,0.,1.,0.9094363301468937,0.09056366985310627
2007/01/22/afternoon,0.,0.9999999999999999,0.9999981577789016,1.8422210983359832e-6
2007/01/23/morning,1.8962609260597674e-13,0.9999999999998105,0.9999966397624853,3.360237514682396e-6
2007/01/23/afternoon,0.37863719119319317,0.6213628088068068,1.,0.
2007/01/24/morning,4.687957938287468e-6,0.9999953120420617,1.,0.
2007/01/24/afternoon,0.,1.,0.9999999422174224,5.77825776115759e-8
2007/01/25/morning,0.,1.,0.7803294348391002,0.21967056516089967
2007/01/25/afternoon,4.929390229335695e-14,0.9999999999999508,0.9920009599746895,0.007999040025310489
2007/01/26/morning,1.0658141036401503e-14,0.9999999999999895,0.9999738622454726,0.000026137754527422175
2007/01/26/afternoon,5.735817820706757e-9,0.9999999942641822,0.9999999983633346,1.6366654698174443e-9
2007/01/29/morning,0.08898164529496588,0.9110183547050341,1.,0.
2007/01/29/afternoon,3.433764994564825e-6,0.9999965662350053,0.999999999999853,1.4699352846037073e-13
2007/01/30/morning,2.1282413622536467e-6,0.9999978717586376,1.,0.
2007/01/30/afternoon,0.,0.9999999999999999,0.9999998281326451,1.7186735501439898e-7
2007/01/31/morning,0.,1.,0.22785595701815176,0.7721440429818482
2007/01/31/afternoon,9.56717802758078e-8,0.9999999043282198,0.9999959394944581,4.0605055420250835e-6
2007/02/01/morning,0.056670426290800435,0.9433295737091995,1.,0.
2007/02/01/afternoon,0.06383188085310154,0.9361681191468983,1.,0.
2007/02/02/morning,0.0012533928724896004,0.9987466071275104,1.,0.
2007/02/02/afternoon,0.,1.,0.9999936600249745,6.339975025415612e-6
2007/02/05/morning,0.,1.,0.6579442104307832,0.3420557895692169
2007/02/05/afternoon,0.,1.,0.9964140877527429,0.003585912247257017
