"","Averege.Pieces.of.One.Market.Buy.Order","Averege.Pieces.of.One.Market.sell.Order","Averege.Pieces.of.One.limit.Buy.Order","Averege.Pieces.of.One.limit.sell.Order","r^U_B","r^U_A","r^D_B","r^D_A","lambda_B","lambda_A","mu_A","mu_B"
"2007/01/04/morning",14.2684021543986,10.9511217948718,7.92061700526712,7.24264451367255,58.1935483870968,586.870967741935,500.40625,41.8125,0.0898717948717949,0.0893589743589744,0.103461538461538,0.0961538461538462
"2007/01/05/morning",11.9071353620147,10.4903299203641,7.97055111485065,9.4461239473116,34.5652173913044,404.144927536232,390.470588235294,30.7352941176471,0.175416666666667,0.2025,0.187777777777778,0.256111111111111
"2007/01/05/afternoon",10.3290840415486,7.97821187077385,7.62671951503847,7.32023289665211,34.5652173913044,404.144927536232,390.470588235294,30.7352941176471,0.113541666666667,0.1046875,0.125833333333333,0.123854166666667
"2007/01/09/morning",9.92694904849601,10.6713554987212,8.63370535714286,8.75293444030919,69.030303030303,486.742424242424,378.962962962963,56.3518518518519,0.179027777777778,0.141527777777778,0.213472222222222,0.150555555555556
"2007/01/09/afternoon",14.0194552529183,11.3342495876855,9.86130568786775,8.69375167605256,69.030303030303,486.742424242424,378.962962962963,56.3518518518519,0.1221875,0.1125,0.1453125,0.132916666666667
"2007/01/10/morning",9.96289137997681,11.7558475689882,10.1495566962203,11.3009966777409,40.9864864864865,372.324324324324,372.405797101449,44.2173913043478,0.201388888888889,0.236111111111111,0.205972222222222,0.295833333333333
"2007/01/10/afternoon",10.2124702144559,12.3068659504904,8.90599078341014,9.34731129748397,40.9864864864865,372.324324324324,372.405797101449,44.2173913043478,0.134166666666667,0.1315625,0.150104166666667,0.153645833333333
"2007/01/11/morning",9.7143996808935,9.15298126064736,8.8999759557586,8.41387313047963,52.2051282051282,372.145299145299,388.944444444444,45.6190476190476,0.17125,0.150972222222222,0.179027777777778,0.2
"2007/01/11/afternoon",14.9755364806867,12.8205273603629,11.3986740331492,10.7093730341791,52.2051282051282,372.145299145299,388.944444444444,45.6190476190476,0.1790625,0.177291666666667,0.1925,0.234270833333333
"2007/01/12/morning",12.4542493337282,11.6534549280954,11.2241763134461,10.4317096466094,67.5616438356164,421.191780821918,393.345679012346,48.6296296296296,0.234309623430962,0.203068340306834,0.274755927475593,0.248117154811715
