,Infinity,Infinity
2007/01/04/morning,172.07948628760505,61.54490096963589
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,50.94774354396904,40.04911501679364
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,89.99949140948212,55.71275610811801
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,36.323446508847766,37.03978272053311
2007/01/11/morning,50.2870041104806,52.91391035054215
2007/01/11/afternoon,33.33441036189189,53.07963375546274
2007/01/12/morning,45.65227932825843,26.433891990537372
2007/01/12/afternoon,51.93064078948554,58.97566595876955
2007/01/15/morning,46.367872379279845,23.216284851255974
2007/01/15/afternoon,69.73025566924161,73.85292123984942
2007/01/16/morning,64.94472605618273,37.98541245750957
2007/01/16/afternoon,60.044581257346124,73.92724745810835
2007/01/17/morning,41.285380560899476,62.29502564149993
2007/01/17/afternoon,17705.262953455396,115013.31865674647
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,31.61687135235853,55.76642753692992
2007/01/19/morning,35.88858487321902,67.9717788605196
2007/01/19/afternoon,68.0558486547838,47.24357112638448
2007/01/22/morning,87.06451288309587,122.08846768439344
2007/01/22/afternoon,58.108322238375834,75.56800407075042
2007/01/23/morning,32.26486811788839,36.39617944903861
2007/01/23/afternoon,513.5545085222005,6373.806167798451
2007/01/24/morning,46.74645280580911,57.01919660637735
2007/01/24/afternoon,51.13942874435091,132.37548451367863
2007/01/25/morning,49.343628681302576,101.07890917402631
2007/01/25/afternoon,54.459788988761765,87.04290796703538
2007/01/26/morning,23.431523643968678,53.85440503537611
2007/01/26/afternoon,35.91822057571406,63.27698486187478
2007/01/29/morning,74.88009346780987,42.21192835746845
2007/01/29/afternoon,85.0654352742811,76.39242076021941
2007/01/30/morning,90.70746163125298,62.40681169164916
2007/01/30/afternoon,64.8366950161336,75.80569117401113
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,26.62641526349367,27.365575999567298
2007/02/01/morning,63.31312797768095,13.656824980246698
2007/02/01/afternoon,115.94712933747664,26.97226143689286
2007/02/02/morning,45.55246843446062,49.33546110434956
2007/02/02/afternoon,32.1129443950307,81.43357080799413
2007/02/05/morning,13.305903983381873,35.89823728085446
