,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.06981605519870282,0.9301839448012972,0.9869588151367625,0.013041184863237465
2007/01/05/morning,0.0015339483773448848,0.9984660516226552,0.849270150057788,0.15072984994221184
2007/01/05/afternoon,0.050233943611685206,0.9497660563883147,0.9802184538029071,0.019781546197092936
2007/01/09/morning,0.359099045451158,0.6409009545488421,0.998566804914458,0.0014331950855419606
2007/01/09/afternoon,0.10430108911572389,0.8956989108842761,0.9746189198329761,0.025381080167024006
2007/01/10/morning,0.0013050843865429762,0.998694915613457,0.8099445864822247,0.19005541351777522
2007/01/10/afternoon,0.03532654249624145,0.9646734575037585,0.9618805848690433,0.038119415130956735
2007/01/11/morning,0.0688503224471888,0.9311496775528113,0.9323353247186468,0.06766467528135323
2007/01/11/afternoon,0.0244799830263267,0.9755200169736733,0.8583236335100836,0.14167636648991655
2007/01/12/morning,0.145547865775709,0.854452134224291,0.9830808821418657,0.01691911785813427
2007/01/12/afternoon,0.03642140043054942,0.9635785995694505,0.921536158684142,0.07846384131585804
2007/01/15/morning,0.0716741032927719,0.9283258967072281,0.9957445035634251,0.004255496436574857
2007/01/15/afternoon,0.020729923810162365,0.9792700761898377,0.9683785053846126,0.031621494615387435
2007/01/16/morning,0.08198964171686729,0.9180103582831327,0.9939316197005235,0.006068380299476539
2007/01/16/afternoon,0.020518473572592733,0.9794815264274073,0.9619247054398173,0.03807529456018255
2007/01/17/morning,0.0124983412760864,0.9875016587239137,0.8730701762749207,0.12692982372507933
2007/01/17/afternoon,0.18274963260956723,0.8172503673904327,0.989423202967224,0.010576797032776142
2007/01/18/morning,0.11324222189371747,0.8867577781062825,0.9918777236107642,0.008122276389235905
2007/01/18/afternoon,0.027479236362119908,0.9725207636378801,0.9420069011741111,0.05799309882588899
2007/01/19/morning,0.007478778347174586,0.9925212216528253,0.8539679918589562,0.14603200814104378
2007/01/19/afternoon,0.09578042675064058,0.9042195732493594,0.9805585848677999,0.019441415132200213
2007/01/22/morning,0.004044970824183869,0.9959550291758161,0.9412733461901608,0.05872665380983921
2007/01/22/afternoon,0.00816861748805886,0.9918313825119411,0.97428882504256,0.02571117495743991
2007/01/23/morning,0.011004365012784234,0.9889956349872158,0.9681984090926917,0.031801590907308164
2007/01/23/afternoon,0.07879357134879594,0.9212064286512041,0.9952336282505152,0.004766371749484799
2007/01/24/morning,0.022651044269163645,0.9773489557308362,0.9955855549715545,0.004414445028445346
2007/01/24/afternoon,0.004787366789683389,0.9952126332103165,0.9643673226830167,0.035632677316983274
2007/01/25/morning,0.01446540010781705,0.9855345998921828,0.8581086845981346,0.14189131540186528
2007/01/25/afternoon,0.029397491583400548,0.9706025084165995,0.9059290285897449,0.09407097141025522
2007/01/26/morning,0.009926825385784266,0.9900731746142156,0.9248930140769691,0.07510698592303089
2007/01/26/afternoon,0.018916398403755252,0.9810836015962449,0.9551682537860475,0.04483174621395247
2007/01/29/morning,0.13438295116382415,0.865617048836176,0.9938707716653514,0.006129228334648573
2007/01/29/afternoon,0.059475565190214796,0.9405244348097852,0.9745492761756354,0.02545072382436464
2007/01/30/morning,0.04245414932171743,0.9575458506782827,0.9868936082257733,0.013106391774226678
2007/01/30/afternoon,0.012545985035252283,0.9874540149647478,0.9547093638001463,0.04529063619985374
2007/01/31/morning,0.00186584547153279,0.9981341545284674,0.879778483541876,0.12022151645812373
2007/01/31/afternoon,0.023828635877103155,0.9761713641228968,0.9673970721324606,0.03260292786753949
2007/02/01/morning,0.11181764158265972,0.8881823584173403,0.9989605954343302,0.0010394045656698658
2007/02/01/afternoon,0.10881208819489441,0.8911879118051055,0.9979720859836995,0.002027914016300425
2007/02/02/morning,0.038925232761628736,0.9610747672383713,0.9910016378098051,0.008998362190194786
2007/02/02/afternoon,0.0056252640776439655,0.994374735922356,0.93801196664614,0.06198803335386005
2007/02/05/morning,0.0024389398448643185,0.9975610601551358,0.9182763676942245,0.0817236323057755
2007/02/05/afternoon,0.008657636865585072,0.9913423631344149,0.9572748001926988,0.04272519980730127
2007/02/06/morning,0.029324134075920494,0.9706758659240794,0.9612540485291595,0.03874595147084037
2007/02/06/afternoon,0.04897816670717137,0.9510218332928286,0.9653046096678344,0.03469539033216562
2007/02/07/morning,0.004159072233230754,0.9958409277667692,0.8557098565274828,0.14429014347251723
2007/02/07/afternoon,0.09090732765585896,0.9090926723441409,0.991368809601092,0.008631190398908029
2007/02/08/morning,0.013965093665655903,0.9860349063343441,0.9432249503068704,0.05677504969312963
2007/02/08/afternoon,0.01001346220580368,0.9899865377941964,0.9219226802754026,0.07807731972459742
