date,E,continuoustime,movfreq_model,movefreq_real
2007/04/12/afternoon,97.48873252,9600,98,116
2007/04/13/morning,Inf,7170,0,102
2007/04/13/afternoon,91.10266763,9600,105,226
2007/04/16/morning,Inf,7140,0,113
2007/04/16/afternoon,139.8635296,9600,68,140
2007/04/17/morning,222.8788375,7170,32,153
2007/04/17/afternoon,54.18783558,9600,177,215
2007/04/18/morning,63.75380187,7200,112,155
2007/04/18/afternoon,82.80141618,9600,115,144
2007/04/19/morning,31.76498122,7169,225,279
2007/04/19/afternoon,30.42927775,9594,315,326
2007/04/20/morning,38.86599086,7170,184,172
2007/04/20/afternoon,265.1100294,9600,36,91
2007/04/23/morning,86.253073,7140,82,123
2007/04/23/afternoon,67.44044842,9600,142,249
2007/04/24/morning,37.75499805,7170,189,210
2007/04/24/afternoon,70.25402425,9600,136,244
2007/04/25/morning,54.6176279,7200,131,171
2007/04/25/afternoon,60.96321417,9600,157,173
2007/04/26/morning,51.79959884,7170,138,139
2007/04/26/afternoon,62.37307322,9600,153,167
2007/04/27/morning,27.58527844,7175,260,228
2007/04/27/afternoon,36.19129199,9600,265,311
2007/05/01/morning,68.29028618,7200,105,267
2007/05/01/afternoon,65.23245375,9600,147,168
2007/05/02/morning,60.88054199,7200,118,111
2007/05/02/afternoon,Inf,9600,0,186
2007/05/07/morning,129.9538329,7140,54,123
2007/05/07/afternoon,69.69590866,9600,137,125
2007/05/08/morning,71.45457322,7200,100,97
2007/05/08/afternoon,96.30767041,9600,99,106
2007/05/09/morning,63.57628614,7200,113,135
2007/05/09/afternoon,Inf,9600,0,152
2007/05/10/morning,64.78997654,7200,111,120
2007/05/10/afternoon,107.4995459,9600,89,121
2007/05/11/morning,57.9628635,7170,123,212
2007/05/11/afternoon,160.8399696,9600,59,109
2007/05/14/morning,90.49253098,7170,79,76
2007/05/14/afternoon,Inf,9600,0,100
2007/05/15/morning,42.00404646,7170,170,139
2007/05/15/afternoon,75.65405621,9600,126,147
2007/05/16/morning,78.31653971,7200,91,122
2007/05/16/afternoon,Inf,9600,0,107
2007/05/17/morning,78.66914747,7200,91,115
2007/05/17/afternoon,264.5548206,9600,36,128
2007/05/18/morning,Inf,7200,0,126
2007/05/18/afternoon,46.68767752,9600,205,215
2007/05/21/morning,48.97479841,7200,147,148
2007/05/21/afternoon,82.50664619,9600,116,124
2007/05/22/morning,131.3112922,7200,54,155
2007/05/22/afternoon,45.12269529,9600,212,182
2007/05/23/morning,44.46639898,7200,161,149
2007/05/23/afternoon,81.34829764,9600,118,152
2007/05/24/morning,51.62588138,7200,139,101
2007/05/24/afternoon,54.31838044,9600,176,163
2007/05/25/morning,65.9420542,7170,108,200
2007/05/25/afternoon,116.3168764,9600,82,106
2007/05/28/morning,74.68042143,7170,96,125
2007/05/28/afternoon,120.0624499,9600,79,111
2007/05/29/morning,Inf,7200,0,131
2007/05/29/afternoon,214.9296994,9600,44,72
2007/05/30/morning,44.54104184,7200,161,156
2007/05/30/afternoon,37.87896805,9600,253,228
2007/05/31/morning,45.09491691,7170,158,186
2007/05/31/afternoon,64.83853573,9600,148,166
2007/06/01/morning,601.1360985,7200,11,64
2007/06/01/afternoon,232.7183171,9600,41,46
2007/06/04/morning,Inf,7170,0,58
2007/06/04/afternoon,191.3484415,9600,50,64
2007/06/05/morning,Inf,7200,0,122
2007/06/05/afternoon,Inf,9600,0,96
2007/06/06/morning,84145.92814,7200,0,85
2007/06/06/afternoon,202.1266375,9600,47,73
2007/06/07/morning,61.90312975,7170,115,91
2007/06/07/afternoon,Inf,9600,0,146
2007/06/08/morning,35.64468069,7140,200,269
2007/06/08/afternoon,77.1168812,9600,124,98
2007/06/11/morning,180.7597232,7170,39,92
2007/06/11/afternoon,452.1134428,9600,21,77
2007/06/12/morning,Inf,7200,0,93
2007/06/12/afternoon,102.9879761,9600,93,107
2007/06/13/morning,61.78420172,7170,116,127
2007/06/13/afternoon,168.9697715,9600,56,116
2007/06/14/morning,55.08317417,7170,130,68
2007/06/14/afternoon,156.741638,9600,61,38
2007/06/15/morning,391.8153899,7200,18,34
2007/06/15/afternoon,131.0739556,9600,73,84
2007/06/18/morning,96.41966865,7170,74,69
2007/06/18/afternoon,190.8242841,9600,50,100
2007/06/19/morning,72.63728954,7200,99,41
2007/06/19/afternoon,385.4773346,9600,24,41
2007/06/20/morning,Inf,7200,0,73
2007/06/20/afternoon,122.7023227,9600,78,85
2007/06/21/morning,Inf,7170,0,81
2007/06/21/afternoon,164.9125672,9600,58,62
2007/06/22/morning,210.2992844,7200,34,89
2007/06/22/afternoon,281.2784794,9600,34,126
2007/06/25/morning,80.59292038,7200,89,101
2007/06/25/afternoon,71.3262092,9600,134,103
2007/06/26/morning,111.1630278,7200,64,142
2007/06/26/afternoon,86.95529481,9600,110,99
2007/06/27/morning,76.77680498,7200,93,98
2007/06/27/afternoon,Inf,9600,0,115
2007/06/28/morning,177.5691388,7200,40,92
2007/06/28/afternoon,133.4828255,9600,71,71
2007/06/29/morning,Inf,7200,0,108
2007/06/29/afternoon,100.3239153,9600,95,142
2007/07/02/morning,121.2837853,7200,59,89
2007/07/02/afternoon,Inf,9600,0,60
2007/07/03/morning,345.4751086,7200,20,49
2007/07/03/afternoon,164.0035305,9600,58,49
2007/07/04/morning,60.93055888,7200,118,77
2007/07/04/afternoon,364.2270205,9600,26,49
2007/07/05/morning,Inf,7200,0,83
2007/07/05/afternoon,Inf,9600,0,54
2007/07/06/morning,Inf,7200,0,115
2007/07/06/afternoon,Inf,9600,0,64
2007/07/09/morning,30875.27778,7200,0,46
2007/07/09/afternoon,202.0665208,9600,47,25
2007/07/10/morning,117.7228877,7200,61,37
2007/07/10/afternoon,Inf,9600,0,25
2007/07/11/morning,94.47591396,7170,75,84
2007/07/11/afternoon,141.19304,9600,67,51
2007/07/12/morning,281.6728092,7200,25,41
2007/07/12/afternoon,Inf,9600,0,112
2007/07/13/morning,Inf,7140,0,105
2007/07/13/afternoon,115.0106799,9600,83,50
2007/07/17/morning,299.6362665,7200,24,57
2007/07/17/afternoon,205.8673257,9600,46,45
2007/07/18/morning,Inf,7200,0,164
2007/07/18/afternoon,87.7086586,9600,109,91
2007/07/19/morning,258.4040697,7200,27,84
2007/07/19/afternoon,225.3579819,9600,42,62
2007/07/20/morning,240.6327492,7200,29,76
2007/07/20/afternoon,338.8687899,9600,28,39
2007/07/23/morning,91.43918725,7170,78,98
2007/07/23/afternoon,181.6159168,9600,52,44
2007/07/24/morning,103.2406895,7200,69,115
2007/07/24/afternoon,25428.42414,9600,0,40
2007/07/25/morning,49.4302723,7140,144,139
2007/07/25/afternoon,131.5884272,9600,72,81
2007/07/26/morning,69.32446477,7200,103,100
2007/07/26/afternoon,67.77934465,9600,141,122
2007/07/27/morning,36.7588906,7080,192,262
2007/07/27/afternoon,33.24358161,9600,288,202
2007/07/30/morning,37.93897228,7140,188,216
2007/07/30/afternoon,176.6293486,9600,54,157
2007/07/31/morning,67.26374745,7200,107,143
2007/07/31/afternoon,79.33576298,9600,121,103
2007/08/01/morning,27.35067748,7140,261,189
2007/08/01/afternoon,54.24323631,9600,176,331
2007/08/02/morning,33.79010286,7170,212,179
2007/08/02/afternoon,20.75442505,9570,461,477
2007/08/03/morning,39.58066028,7200,181,195
2007/08/03/afternoon,33.05570612,9600,290,288
2007/08/06/morning,47.32296256,7110,150,229
2007/08/06/afternoon,30.34235549,9600,316,241
2007/08/07/morning,92.38529377,7140,77,180
2007/08/07/afternoon,30.22162819,9600,317,264
2007/08/08/morning,51.3294235,7200,140,347
2007/08/08/afternoon,44.39979832,9600,216,171
2007/08/09/morning,34.63189926,7170,207,164
2007/08/09/afternoon,58.96231577,9600,162,124
2007/08/10/morning,36.30304396,7050,194,311
2007/08/10/afternoon,40.15268429,9600,239,282
2007/08/13/morning,28.47689035,7200,252,299
2007/08/13/afternoon,40.02689598,9600,239,216
2007/08/14/morning,33.99177413,7200,211,214
2007/08/14/afternoon,61.68329839,9600,155,130
2007/08/15/morning,71.74567428,7140,99,136
2007/08/15/afternoon,61.41915892,9600,156,279
2007/08/16/morning,21.0422975,7142,339,391
2007/08/16/afternoon,14.74398035,9600,651,697
2007/08/17/morning,18.43228662,7200,390,426
2007/08/17/afternoon,12.63000045,9600,760,1037
