"","Averege.Pieces.of.One.Market.Buy.Order","Averege.Pieces.of.One.Market.sell.Order","Averege.Pieces.of.One.limit.Buy.Order","Averege.Pieces.of.One.limit.sell.Order","r^U_B","r^U_A","r^D_B","r^D_A","lambda_B","lambda_A","mu_A","mu_B"
"2007/01/04/morning",14.2684021543986,10.9511217948718,7.92061700526712,7.24264451367255,58.1935483870968,586.870967741935,500.40625,41.8125,2.69910256410256,2.6825641025641,3.10410256410256,2.8874358974359
"2007/01/05/morning",11.9071353620147,10.4903299203641,7.97055111485065,9.4461239473116,34.5652173913044,404.144927536232,390.470588235294,30.7352941176471,5.26277777777778,6.07569444444444,5.63458333333333,7.68569444444444
"2007/01/05/afternoon",10.3290840415486,7.97821187077385,7.62671951503847,7.32023289665211,34.5652173913044,404.144927536232,390.470588235294,30.7352941176471,3.40739583333333,3.143125,3.7778125,3.71708333333333
"2007/01/09/morning",9.92694904849601,10.6713554987212,8.63370535714286,8.75293444030919,69.030303030303,486.742424242424,378.962962962963,56.3518518518519,5.37208333333333,4.24638888888889,6.40513888888889,4.51861111111111
"2007/01/09/afternoon",14.0194552529183,11.3342495876855,9.86130568786775,8.69375167605256,69.030303030303,486.742424242424,378.962962962963,56.3518518518519,3.66614583333333,3.37697916666667,4.36177083333333,3.99052083333333
"2007/01/10/morning",9.96289137997681,11.7558475689882,10.1495566962203,11.3009966777409,40.9864864864865,372.324324324324,372.405797101449,44.2173913043478,6.04180555555556,7.08666666666667,6.18194444444444,8.87861111111111
"2007/01/10/afternoon",10.2124702144559,12.3068659504904,8.90599078341014,9.34731129748397,40.9864864864865,372.324324324324,372.405797101449,44.2173913043478,4.02625,3.94729166666667,4.50541666666667,4.609375
"2007/01/11/morning",9.7143996808935,9.15298126064736,8.8999759557586,8.41387313047963,52.2051282051282,372.145299145299,388.944444444444,45.6190476190476,5.14097222222222,4.53180555555556,5.37388888888889,6.00319444444444
"2007/01/11/afternoon",14.9755364806867,12.8205273603629,11.3986740331492,10.7093730341791,52.2051282051282,372.145299145299,388.944444444444,45.6190476190476,5.3728125,5.32010416666667,5.77666666666667,7.03104166666667
"2007/01/12/morning",12.4542493337282,11.6534549280954,11.2241763134461,10.4317096466094,67.5616438356164,421.191780821918,393.345679012346,48.6296296296296,7.03193863319386,6.0931659693166,8.24490934449094,7.44351464435146
"2007/01/12/afternoon",14.9469320066335,13.2409799554566,9.23582313265051,8.7035799522673,67.5616438356164,421.191780821918,393.345679012346,48.6296296296296,3.85114583333333,3.79875,4.52010416666667,4.85572916666667
"2007/01/15/morning",10.1045531197302,10.8070175438596,6.48088912984549,7.00548947849954,25.4642857142857,438.214285714286,424.218181818182,31.6727272727273,3.32055555555556,3.19041666666667,4.44611111111111,3.56013888888889
"2007/01/15/afternoon",13.1417910447761,11.9508041627247,6.43673174258858,6.83459732755507,25.4642857142857,438.214285714286,424.218181818182,31.6727272727273,1.85458333333333,1.97135416666667,2.26333333333333,2.2109375
"2007/01/16/morning",10.1762057877814,10.6597222222222,8.31357927786499,7.32354270221419,37.0697674418605,378.953488372093,412.454545454545,31.3636363636364,2.94208333333333,2.25097222222222,3.04152777777778,3.02555555555556
"2007/01/16/afternoon",9.68417104276069,10.3609271523179,7.55506445672192,6.9130612244898,37.0697674418605,378.953488372093,412.454545454545,31.3636363636364,2.13666666666667,1.76427083333333,2.04979166666667,2.55145833333333
"2007/01/17/morning",10.4198841698842,10.9081427998396,7.96336144227973,7.93571217929814,56.3404255319149,455.074468085106,402.344827586207,52.8850574712644,3.81952580195258,3.75313807531381,4.26345885634589,5.21283124128312
"2007/01/17/afternoon",11.9228650137741,12.3860149839458,10.1478363031134,9.43822987092809,56.3404255319149,455.074468085106,402.344827586207,52.8850574712644,5.3984375,4.79875,6.5259375,5.40114583333333
