,306.8242977837667,99.63390088969035
2007/01/04/morning,306.8242977837667,99.63390088969035
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,112.66318073280873,48.843177919953476
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,207.89050633079935,56.86477673343722
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,70.31052515158521,78.83428607055997
2007/01/11/morning,60.30913295838395,54.626357183331564
2007/01/11/afternoon,31.358777003323652,95.93702360961834
2007/01/12/morning,131.52215698944747,22.772267603600994
2007/01/12/afternoon,67.68967794211449,67.9269724451485
2007/01/15/morning,99.21619771579284,25.484962661091913
2007/01/15/afternoon,70.15499687571678,110.80586301651972
2007/01/16/morning,264.68304457963836,39.21236169270378
2007/01/16/afternoon,89.22060778297713,108.57317591379115
2007/01/17/morning,40.19215056785731,103.08592783813332
2007/01/17/afternoon,13324.075184818965,101902.75741645499
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,57.939306629213974,57.18628657252286
2007/01/19/morning,31.248471869334253,135.04914241579215
2007/01/19/afternoon,98.76456382599825,39.83050989675243
2007/01/22/morning,79.90392646892542,384.29308006944115
2007/01/22/afternoon,74.8375540827457,95.92613835890883
2007/01/23/morning,49.395554647053544,69.81037931115624
2007/01/23/afternoon,516.9744374017612,56.13279911275822
2007/01/24/morning,91.65189058091686,51.17954142186204
2007/01/24/afternoon,80.20789246031632,143.16263077606789
2007/01/25/morning,41.40907285090725,248.05491369521422
2007/01/25/afternoon,48.68971690893753,136.03610826634383
2007/01/26/morning,33.89820708278863,60.145567531937715
2007/01/26/afternoon,56.92261268862567,59.99218722064904
2007/01/29/morning,156.5445113668429,34.43288269857726
2007/01/29/afternoon,102.32541560396389,67.6355485497474
2007/01/30/morning,122.5209314162975,53.581105323451084
2007/01/30/afternoon,73.35301734701343,77.93240824110579
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,45.48185458029928,53.245837751071136
2007/02/01/morning,122.7935516623576,15.577503549091944
2007/02/01/afternoon,265.2492908961355,30.982467715025905
2007/02/02/morning,101.26718556017482,43.240706449933896
2007/02/02/afternoon,46.04013230076657,93.36359125829172
2007/02/05/morning,14.317685597963191,158.6238794517976
2007/02/05/afternoon,32.58083081406107,123.06194351643796
2007/02/06/morning,115.3454683556242,120.61334252745952
2007/02/06/afternoon,195.20705088009714,147.11899626525147
2007/02/07/morning,32.08779177147562,242.69823981150918
2007/02/07/afternoon,124.3346410555219,46.35719492781868
2007/02/08/morning,46.20388278489267,77.25579670620151
2007/02/08/afternoon,38.17442847759147,94.12455291364724
2007/02/09/morning,421.41190191477085,26.882499451685362
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
