,Infinity,Infinity
2007/01/04/morning,172.07948628773443,61.54490096944808
2007/01/05/morning,Infinity,Infinity
2007/01/05/afternoon,50.947743543931296,40.04911501655763
2007/01/09/morning,Infinity,Infinity
2007/01/09/afternoon,89.99949140950315,55.712756108071396
2007/01/10/morning,Infinity,Infinity
2007/01/10/afternoon,36.32344650885368,37.03978272052504
2007/01/11/morning,50.287004110483046,52.91391035051885
2007/01/11/afternoon,33.33441036188723,53.07963375546075
2007/01/12/morning,45.65227932827554,26.433891990693237
2007/01/12/afternoon,51.93064078944643,58.97566595877267
2007/01/15/morning,46.36787237926853,23.216284851160705
2007/01/15/afternoon,69.73025566936053,73.85292123989603
2007/01/16/morning,64.94472605571684,37.98541245022997
2007/01/16/afternoon,60.0445812573152,73.92724745803218
2007/01/17/morning,41.28538056088902,62.29502564149277
2007/01/17/afternoon,17705.262939143333,115013.318563422
2007/01/18/morning,Infinity,Infinity
2007/01/18/afternoon,31.616871352373423,55.766427536940036
2007/01/19/morning,35.88858487329496,67.97177886052518
2007/01/19/afternoon,68.05584865477607,47.243571126330025
2007/01/22/morning,87.0645128632707,122.08846768345984
2007/01/22/afternoon,58.10832223859093,75.56800407077839
2007/01/23/morning,32.26486811784087,36.39617944902986
2007/01/23/afternoon,513.554508513393,6373.806167669037
2007/01/24/morning,46.74645280581889,57.01919660625866
2007/01/24/afternoon,51.139428744448225,132.37548451371524
2007/01/25/morning,49.34362868211703,101.07890917413874
2007/01/25/afternoon,54.45978898883657,87.04290796701491
2007/01/26/morning,23.431523643960833,53.8544050353723
2007/01/26/afternoon,35.91822057574282,63.276984861857954
2007/01/29/morning,74.88009346781396,42.21192835754894
2007/01/29/afternoon,85.06543527426177,76.3924207602517
2007/01/30/morning,90.70746163123093,62.406811691584586
2007/01/30/afternoon,64.83669501616976,75.80569117405092
2007/01/31/morning,Infinity,Infinity
2007/01/31/afternoon,26.62641526348935,27.365575999577075
2007/02/01/morning,63.313127977688225,13.656824980330827
2007/02/01/afternoon,115.94712933748369,26.972261437026102
2007/02/02/morning,45.55246843444618,49.33546110434865
2007/02/02/afternoon,32.11294439499,81.43357080796048
2007/02/05/morning,13.305903989140793,35.89823728121212
2007/02/05/afternoon,28.731763605099264,51.76982335973838
2007/02/06/morning,95.30852012924461,123.0787141138467
2007/02/06/afternoon,134.0524601574702,148.539351402083
2007/02/07/morning,36.48480988020703,74.45671455010705
2007/02/07/afternoon,81.27304024550867,47.360092045170624
2007/02/08/morning,28.08236311285383,75.7890370357845
2007/02/08/afternoon,24.22342183633335,75.83978654174301
2007/02/09/morning,474.4510524812931,3428.5480173868914
2007/02/09/afternoon,Infinity,Infinity
2007/02/13/morning,Infinity,Infinity
2007/02/13/afternoon,89.26021122546477,30.058957538037255
