,Infinity,Infinity
2007/02/19/afternoon,149.39961193873702,151.75699153279427
2007/02/20/morning,20943.410549798646,2861.7773967947464
2007/02/20/afternoon,Infinity,Infinity
2007/02/21/morning,108.53791052979804,64.9638362080873
2007/02/21/afternoon,50.36957787660644,71.39972858073268
2007/02/22/morning,171.5242461928624,137.34080587588423
2007/02/22/afternoon,157.05036904637458,111.9236471617912
2007/02/23/morning,152.83759164643618,77.21142037976935
2007/02/23/afternoon,170.48458212591777,119.31555896520308
2007/02/26/morning,115.31823956135067,78.11975337161155
2007/02/26/afternoon,58.32045392504118,106.84678830546073
2007/02/27/morning,58.62654239406379,65.3337189452924
2007/02/27/afternoon,Infinity,Infinity
2007/02/28/morning,26.269903462943134,21.20816998524755
2007/02/28/afternoon,49.43187011761919,38.33987701884308
2007/03/01/morning,Infinity,Infinity
2007/03/01/afternoon,75.22512891278313,60.98026253484767
2007/03/02/morning,Infinity,Infinity
2007/03/02/afternoon,Infinity,Infinity
2007/03/05/morning,Infinity,Infinity
2007/03/05/afternoon,Infinity,Infinity
2007/03/06/morning,54.287867927968364,29.377557611650765
2007/03/06/afternoon,99.48955404728792,60.21521467061882
2007/03/07/morning,Infinity,Infinity
2007/03/07/afternoon,70.15199212771057,84.07606579355252
2007/03/08/morning,85.81088992238199,30.51095325856349
2007/03/08/afternoon,Infinity,Infinity
2007/03/09/morning,46.99001563586143,49.259665494437435
2007/03/09/afternoon,77.08313275110936,58.429675809537706
2007/03/12/morning,58.11017389077212,81.62346461554158
2007/03/12/afternoon,92.3237444710952,78.63437501933699
2007/03/13/morning,58.16059270646107,68.89300530978046
2007/03/13/afternoon,48.69782100450635,61.6671247100106
2007/03/14/morning,29.442970519547544,38.76752744211925
2007/03/14/afternoon,47.32976206241396,49.052621619706855
2007/03/15/morning,56.805840966262764,16.812820575105473
2007/03/15/afternoon,65.52433988293295,36.54386411487481
2007/03/16/morning,41.42573644640429,51.83321645490024
2007/03/16/afternoon,45.01199419609354,39.16932345985343
2007/03/19/morning,576.138526257884,2960.4500969293445
2007/03/19/afternoon,74.77060866794216,39.039410252261575
2007/03/20/morning,57.627594327068074,49.76757712974381
2007/03/20/afternoon,75.49574849355062,72.69622705681732
2007/03/22/morning,92.76261921578771,116.59499342584846
2007/03/22/afternoon,108.14678870761955,141.45502555844203
2007/03/23/morning,37.25578106183848,65.782721458992
2007/03/23/afternoon,93.90456646091157,74.50875250597825
2007/03/26/morning,65.61260684488231,100.88211171504366
2007/03/26/afternoon,240.60282822102363,559.2544389737336
2007/03/27/morning,Infinity,Infinity
2007/03/27/afternoon,23.23213420251971,81.20641968298818
2007/03/28/morning,44.241442831546465,51.14496389454768
2007/03/28/afternoon,18.229549636739037,28.9625161010537
2007/03/29/morning,46.12180996594338,54.34977745745942
2007/03/29/afternoon,61.05429771123349,47.616695218566434
2007/03/30/morning,67.07507153891848,27.634549963581485
2007/03/30/afternoon,94.32419760561018,45.019374043778065
2007/04/02/morning,36.75459876500551,75.19309404599002
2007/04/02/afternoon,Infinity,Infinity
2007/04/03/morning,71.70039645829921,57.46640252038915
2007/04/03/afternoon,95.72427958052242,50.9247417096961
2007/04/04/morning,63.220769150982335,17.8227658423275
2007/04/04/afternoon,117.51628230998634,43.89884602196566
2007/04/05/morning,27.171901909775286,61.157226642535
2007/04/05/afternoon,72.05700795855664,97.12628711967966
2007/04/06/morning,29.916872990290315,44.463520880844804
2007/04/06/afternoon,139.80208450228656,66.93079140677676
2007/04/09/morning,71.58653979796765,17.96403299770576
2007/04/09/afternoon,176.4100913775776,69.16747059382033
2007/04/10/morning,47.978918153935496,44.60532299833434
2007/04/10/afternoon,80.50202137503129,47.128709497141436
2007/04/11/morning,95.00063151373124,65.23914654806387
2007/04/11/afternoon,149.2244668070129,66.35786728288036
2007/04/12/morning,Infinity,Infinity
2007/04/12/afternoon,138.17082111314022,105.01770208434742
2007/04/13/morning,Infinity,Infinity
2007/04/13/afternoon,30.05546690865427,65.8473882549165
2007/04/16/morning,Infinity,Infinity
2007/04/16/afternoon,42.56213264069143,74.6665789513755
2007/04/17/morning,14913.381953413022,2033.780037915097
2007/04/17/afternoon,25.091282231743484,71.56129390931166
2007/04/18/morning,35.39093655091861,37.67598526081476
2007/04/18/afternoon,39.14714887945198,107.59579700268958
2007/04/19/morning,14.511340840320733,44.40813425641755
2007/04/19/afternoon,22.755261794190595,41.51005742965508
2007/04/20/morning,48.085558779677534,55.32866316049184
2007/04/20/afternoon,2015.8622052684573,399.9824592548382
2007/04/23/morning,88.84347198881525,64.9804023226093
2007/04/23/afternoon,33.24971987440899,63.90248106353798
2007/04/24/morning,40.57204708139106,26.864936868158793
2007/04/24/afternoon,68.84393292006104,20.176785678206695
2007/04/25/morning,32.53436327271222,56.42708835364766
2007/04/25/afternoon,75.092840770846,83.47744406247529
2007/04/26/morning,73.23629019726322,82.80263622267182
2007/04/26/afternoon,93.61370678558762,69.52759392380841
2007/04/27/morning,32.73593878172602,39.12599617334253
2007/04/27/afternoon,42.83413271299111,48.99824583250113
2007/05/01/morning,32.933238865365404,55.31388333479745
