"","Averege.Pieces.of.One.Market.Buy.Order","Averege.Pieces.of.One.Market.sell.Order","Averege.Pieces.of.One.limit.Buy.Order","Averege.Pieces.of.One.limit.sell.Order","r^U_B","r^U_A","r^D_B","r^D_A","lambda_B","lambda_A","mu_A","mu_B"
"2007/01/15/afternoon",13.1417910447761,11.9508041627247,6.43673174258858,6.83459732755507,25.4642857142857,438.214285714286,424.218181818182,31.6727272727273,0.185416666666667,0.197083333333333,0.22625,0.221041666666667
"2007/01/16/morning",10.1762057877814,10.6597222222222,8.31357927786499,7.32354270221419,37.0697674418605,378.953488372093,412.454545454545,31.3636363636364,0.294166666666667,0.225,0.304027777777778,0.3025
"2007/01/16/afternoon",9.68417104276069,10.3609271523179,7.55506445672192,6.9130612244898,37.0697674418605,378.953488372093,412.454545454545,31.3636363636364,0.213645833333333,0.176354166666667,0.204895833333333,0.255104166666667
"2007/01/17/morning",10.4198841698842,10.9081427998396,7.96336144227973,7.93571217929814,56.3404255319149,455.074468085106,402.344827586207,52.8850574712644,0.38186889818689,0.375313807531381,0.426220362622036,0.521199442119944
"2007/01/17/afternoon",11.9228650137741,12.3860149839458,10.1478363031134,9.43822987092809,56.3404255319149,455.074468085106,402.344827586207,52.8850574712644,0.539791666666667,0.479791666666667,0.6525,0.540104166666667
"2007/01/18/morning",10.6723404255319,10.9793621013133,10.0707773512476,9.34028484231943,42.4174757281553,436.563106796117,379.433962264151,47.3867924528302,0.582916666666667,0.51,0.692777777777778,0.560555555555556
"2007/01/18/afternoon",12.813622754491,11.9377657518361,9.66804502641856,10.7357802625182,42.4174757281553,436.563106796117,379.433962264151,47.3867924528302,0.438333333333333,0.46,0.5421875,0.510833333333333
"2007/01/19/morning",13.007472826087,12.8097982708934,9.15414634146341,9.50849552054371,51.2886597938144,458.298969072165,445.511111111111,46.6777777777778,0.390833333333333,0.427361111111111,0.458611111111111,0.554166666666667
"2007/01/19/afternoon",12.1841441441441,12.3271070615034,9.14645632210972,9.04409672830725,51.2886597938144,458.298969072165,445.511111111111,46.6777777777778,0.404583333333333,0.397291666666667,0.5153125,0.456145833333333
"2007/01/22/morning",8.41539763113367,7.75916870415648,5.73312765136907,5.66795366795367,36.0943396226415,575.698113207547,579.470588235294,27.6274509803922,0.207252440725244,0.204741980474198,0.210460251046025,0.252301255230126
"2007/01/22/afternoon",9.97582547169811,10.3591916558018,6.31893572909468,6.89969188634029,36.0943396226415,575.698113207547,579.470588235294,27.6274509803922,0.190416666666667,0.209895833333333,0.239270833333333,0.238541666666667
"2007/01/23/morning",10.4255079006772,10.6777275012569,6.78782557799239,7.42824226464779,42.3846153846154,497.5,421.130434782609,43.5652173913044,0.322083333333333,0.313333333333333,0.376388888888889,0.407083333333333
"2007/01/23/afternoon",10.3653012048193,9.03638368246968,7.55635216518497,7.05975339867215,42.3846153846154,497.5,421.130434782609,43.5652173913044,0.274375,0.232604166666667,0.3109375,0.276770833333333
"2007/01/24/morning",14.960553633218,12.3595425303788,8.3257328990228,6.95020615287028,44.6363636363636,712.945454545455,728.470588235294,53.4509803921569,0.320825777653787,0.305621425582369,0.409122611242851,0.369926070581671
"2007/01/24/afternoon",14.6903729401561,14.4793774319066,8.88084112149533,8.55476472914195,44.6363636363636,712.945454545455,728.470588235294,53.4509803921569,0.2375,0.2253125,0.262291666666667,0.293645833333333
"2007/01/25/morning",11.8191230207065,12.3500753390256,8.10957583547558,7.93218806509946,47.5797101449275,390.579710144928,524.916666666667,47.9722222222222,0.350416666666667,0.365416666666667,0.38,0.466388888888889
"2007/01/25/afternoon",11.5120949338202,12.4805447470817,8.993961352657,10.4003224073079,47.5797101449275,390.579710144928,524.916666666667,47.9722222222222,0.3878125,0.403229166666667,0.438229166666667,0.486354166666667
"2007/01/26/morning",11.9085477941176,12.6021173356859,8.71658615136876,8.45413618458075,39.8333333333333,507.974358974359,415.961038961039,48.2207792207792,0.450972222222222,0.417222222222222,0.497083333333333,0.569027777777778
"2007/01/26/afternoon",13.6292534281361,14.3329864724246,8.8115024766098,8.05480953685941,39.8333333333333,507.974358974359,415.961038961039,48.2207792207792,0.333541666666667,0.306145833333333,0.386145833333333,0.40375
"2007/01/29/morning",12.0103370786517,11.9079616036138,7.45247877293892,7.95180722891566,55.3098591549296,452.746478873239,514.557142857143,47.7714285714286,0.377777777777778,0.366666666666667,0.505972222222222,0.411111111111111
"2007/01/29/afternoon",14.9252077562327,12.6528436018957,8.46923076923077,8.21057818659658,55.3098591549296,452.746478873239,514.557142857143,47.7714285714286,0.275208333333333,0.2603125,0.33125,0.328958333333333
"2007/01/30/morning",17.6688364524003,12.5402298850575,8.5469696969697,7.40577249575552,63.5625,680.25,582.402597402597,49.2467532467532,0.313333333333333,0.302916666666667,0.394305555555556,0.365555555555556
"2007/01/30/afternoon",15.6650273224044,14.2700421940928,9.20526744501765,9.27143652561247,63.5625,680.25,582.402597402597,49.2467532467532,0.353125,0.346875,0.4096875,0.440520833333333
"2007/01/31/morning",10.8845350052247,10.759798633585,7.46690083761146,8.00835804799137,40.9354838709677,411.41935483871,380.530303030303,44.3939393939394,0.38375,0.4125,0.407361111111111,0.551527777777778
"2007/01/31/afternoon",14.0248290752069,14.5444366689993,9.5742654508612,10.1481481481481,40.9354838709677,411.41935483871,380.530303030303,44.3939393939394,0.492083333333333,0.4509375,0.533541666666667,0.582291666666667
"2007/02/01/morning",15.3978321959053,9.28743131868132,8.93005050505051,7.34155098133078,54.3783783783784,631.378378378378,531.704225352113,33.5633802816901,0.491111111111111,0.425972222222222,0.644166666666667,0.533472222222222
"2007/02/01/afternoon",13.8635496183206,12.2821088053842,9.01001177856302,7.88914483155773,54.3783783783784,631.378378378378,531.704225352113,33.5633802816901,0.318645833333333,0.2853125,0.395104166666667,0.338958333333333
"2007/02/02/morning",11.7861936720997,11.7706698853349,7.67801763453937,7.30044699872286,40.9285714285714,604.3,524.87323943662,50.9859154929577,0.350694444444444,0.3175,0.435416666666667,0.391111111111111
"2007/02/02/afternoon",15.7122015915119,13.5330739299611,9.5266106442577,9.03427672955975,40.9285714285714,604.3,524.87323943662,50.9859154929577,0.31875,0.299166666666667,0.353854166666667,0.4078125
