,p_UU,p_UD,p_DU,p_DD
2007/01/04/morning,0.06981605306718297,0.9301839448012938,0.9869588151367654,0.013041179070184317
2007/01/05/morning,0.001533941079112533,0.9984660516226538,0.8492701500577909,0.15072984437937187
2007/01/05/afternoon,0.05023393918435637,0.9497660563883096,0.9802184538029051,0.019781475586770125
2007/01/09/morning,0.3590990379603006,0.640900954548839,0.9985668049144574,0.0014331927927742766
2007/01/09/afternoon,0.10430106676175,0.895698910884274,0.9746189198329801,0.02538097626907443
2007/01/10/morning,0.0013050827879252658,0.9986949156134575,0.809944586482224,0.1900554088804588
2007/01/10/afternoon,0.03532657039801457,0.9646734575037574,0.9618805848690437,0.03811932967167131
2007/01/11/morning,0.06885030216384924,0.931149677552807,0.9323353247186474,0.06766465543170308
2007/01/11/afternoon,0.024479985864323872,0.9755200169736725,0.8583236335100831,0.1416763603429192
2007/01/12/morning,0.14554785393256875,0.8544521342242977,0.9830808821418636,0.01691911414013869
2007/01/12/afternoon,0.03642136963509701,0.9635785995694518,0.9215361586841364,0.07846384642249482
2007/01/15/morning,0.07167410276022734,0.9283258967072264,0.9957445035634237,0.004255418370780584
2007/01/15/afternoon,0.020729930011757824,0.9792700761898386,0.9683785053846148,0.03162150222267546
2007/01/16/morning,0.08198984028941037,0.9180103582831158,0.9939316197005206,0.006071736861441357
2007/01/16/afternoon,0.02051848942671375,0.9794815264274044,0.9619247054398162,0.03807530893849731
2007/01/17/morning,0.012498344791093907,0.9875016587239112,0.8730701762749196,0.12692980949404575
2007/01/17/afternoon,0.18667751568954538,0.8172503673900011,0.9894232029672242,0.03618334970523407
2007/01/18/morning,0.11324209621864034,0.8867577781062741,0.9918777236107632,0.008122156501845113
2007/01/18/afternoon,0.02747922800095015,0.9725207636378808,0.9420069011741125,0.05799311031079846
2007/01/19/morning,0.007478777040059059,0.9925212216528244,0.8539679918589584,0.14603198328753897
2007/01/19/afternoon,0.09578027235338904,0.9042195732493555,0.9805585848677986,0.019441414257279854
2007/01/22/morning,0.00410144991413075,0.995955029175813,0.9412733461901377,0.058728568153967875
2007/01/22/afternoon,0.008168630881809413,0.9918313825119411,0.9742888250425633,0.025708988529113297
2007/01/23/morning,0.011004355130052823,0.9889956349872148,0.9681984090926897,0.03180158807978617
